OBJECTID,GEOID10,ALAND10,AWATER10,GlobalID,T_Parcel,T_Str_CR,Pct_S_CR,T_Str_1230,Pct_S_1230,T_Vac_Q413,Pct_V_Q413,T_Vac_Q114,Pct_V_Q114,T_Vac_Q214,Pct_V_Q214,T_Vac_Q314,Pct_V_Q314,T_Vac_Q414,Pct_V_Q414
78,261635159002016,13905,0,047b5c09-a3df-4298-b43e-87a945d1f1b6,29.0,9.0,0.310344827586207,9.0,0.310344827586207,,,,,,,,,,
79,261635159001032,29323,0,b818c6cd-aa4f-4a09-9381-266ee32b6539,56.0,22.0,0.392857142857143,22.0,0.392857142857143,4.0,0.181818181818182,4.0,0.181818181818182,5.0,0.227272727272727,5.0,0.227272727272727,5.0,0.227272727272727
80,261635142005001,25854,0,75640fd9-755f-4692-8575-c59ed7999e60,49.0,30.0,0.612244897959184,29.0,0.591836734693878,10.0,0.333333333333333,9.0,0.3,9.0,0.3,9.0,0.3,7.0,0.233333333333333
81,261635159001005,33979,0,e57cb927-d140-4232-af04-5af574699fcb,44.0,29.0,0.659090909090909,29.0,0.659090909090909,7.0,0.241379310344828,7.0,0.241379310344828,7.0,0.241379310344828,7.0,0.241379310344828,7.0,0.241379310344828
82,261635159001013,10707,0,c12d0ffc-a060-44ca-bb70-7b943256da68,23.0,15.0,0.652173913043478,15.0,0.652173913043478,2.0,0.133333333333333,2.0,0.133333333333333,2.0,0.133333333333333,2.0,0.133333333333333,2.0,0.133333333333333
83,261635159001012,19772,0,dbc956e8-df90-4a60-b739-68492f564c6a,28.0,12.0,0.428571428571429,12.0,0.428571428571429,4.0,0.333333333333333,5.0,0.416666666666667,5.0,0.416666666666667,5.0,0.416666666666667,5.0,0.416666666666667
84,261635008001003,17689,0,0d21277d-dd3e-4d53-9670-ac9669b1ae02,30.0,30.0,1.0,30.0,1.0,1.0,0.0333333333333333,1.0,0.0333333333333333,1.0,0.0333333333333333,1.0,0.0333333333333333,1.0,0.0333333333333333
85,261635008001008,16721,0,9e14452d-c950-40e1-b417-da0f826e1d11,31.0,27.0,0.870967741935484,27.0,0.870967741935484,1.0,0.037037037037037,1.0,0.037037037037037,1.0,0.037037037037037,4.0,0.148148148148148,4.0,0.148148148148148
86,261635009001002,16075,0,c43c096d-a99b-4c6f-9d58-de4b8e818d4b,17.0,17.0,1.0,17.0,1.0,1.0,0.0588235294117647,1.0,0.0588235294117647,1.0,0.0588235294117647,2.0,0.117647058823529,2.0,0.117647058823529
87,261635015005009,347,0,b1e55bb7-9c34-4eb9-af8c-b8f0faf7599d,,,,,,,,,,,,,,,
88,261635055001053,12577,0,81c4c710-6f28-4014-9de4-be8d93e48470,11.0,4.0,0.363636363636364,4.0,0.363636363636364,2.0,0.5,2.0,0.5,2.0,0.5,2.0,0.5,2.0,0.5
89,261635015002006,17257,0,08d75c02-7f23-4e1b-883a-d4418241af7a,28.0,26.0,0.928571428571429,26.0,0.928571428571429,,,3.0,0.115384615384615,5.0,0.192307692307692,6.0,0.230769230769231,2.0,0.0769230769230769
90,261635403004011,19604,0,40fe3530-c8e3-44b5-87b4-eead33c3527f,26.0,23.0,0.884615384615385,23.0,0.884615384615385,2.0,0.0869565217391304,2.0,0.0869565217391304,2.0,0.0869565217391304,2.0,0.0869565217391304,3.0,0.130434782608696
91,261635404004005,18025,0,cd0a5811-c300-422e-9ad5-5a7452439a5c,24.0,24.0,1.0,24.0,1.0,2.0,0.0833333333333333,3.0,0.125,4.0,0.166666666666667,5.0,0.208333333333333,5.0,0.208333333333333
92,261635404004003,19561,0,52365dee-a9a7-4349-94bc-9374066b387f,25.0,17.0,0.68,17.0,0.68,2.0,0.117647058823529,1.0,0.0588235294117647,1.0,0.0588235294117647,1.0,0.0588235294117647,1.0,0.0588235294117647
93,261635402003003,17033,0,fd6f0a29-9049-4a27-8b02-d613d9895b4a,30.0,30.0,1.0,30.0,1.0,3.0,0.1,3.0,0.1,3.0,0.1,2.0,0.0666666666666667,2.0,0.0666666666666667
94,261635386005005,17973,0,2374fc78-6c49-47f1-9e3b-63f9d2a3f07b,28.0,27.0,0.964285714285714,27.0,0.964285714285714,6.0,0.222222222222222,5.0,0.185185185185185,4.0,0.148148148148148,4.0,0.148148148148148,1.0,0.037037037037037
95,261635387001015,18159,0,7eb9c681-5b84-4670-9402-d9fad6ecb520,34.0,33.0,0.970588235294118,33.0,0.970588235294118,5.0,0.151515151515152,6.0,0.181818181818182,6.0,0.181818181818182,6.0,0.181818181818182,8.0,0.242424242424242
96,261635389004019,18684,0,529c70ca-2467-4250-8e83-953cc48c2899,24.0,22.0,0.916666666666667,22.0,0.916666666666667,1.0,0.0454545454545455,2.0,0.0909090909090909,1.0,0.0454545454545455,1.0,0.0454545454545455,1.0,0.0454545454545455
97,261635390002008,36643,0,6f595dec-2ba4-42bc-ad8d-7f250cdd8004,35.0,33.0,0.942857142857143,33.0,0.942857142857143,3.0,0.0909090909090909,3.0,0.0909090909090909,4.0,0.121212121212121,5.0,0.151515151515152,5.0,0.151515151515152
98,261635389002023,18624,0,da642ca3-2074-4f99-af60-e036a286a307,25.0,24.0,0.96,24.0,0.96,2.0,0.0833333333333333,2.0,0.0833333333333333,2.0,0.0833333333333333,1.0,0.0416666666666667,1.0,0.0416666666666667
99,261635016001002,15807,0,a6a87296-d907-495f-9ea2-043de8527f6a,25.0,25.0,1.0,25.0,1.0,7.0,0.28,6.0,0.24,7.0,0.28,8.0,0.32,7.0,0.28
100,261635353004008,24704,0,e0dbd977-6e2f-4819-9a1e-87023903debb,40.0,37.0,0.925,37.0,0.925,3.0,0.0810810810810811,5.0,0.135135135135135,5.0,0.135135135135135,5.0,0.135135135135135,5.0,0.135135135135135
101,261635250002049,23221,0,b9fb9bbc-644c-4cfe-886e-4e7e221a3085,8.0,3.0,0.375,3.0,0.375,,,,,,,,,,
102,261635163001021,14161,0,f01f0314-66b1-497a-8ce6-0f77aa65edab,2.0,1.0,0.5,1.0,0.5,,,,,,,,,,
