OBJECTID,SUBJ_STATE,FEATURE,SHAPE_Length,SHAPE_Area
1428,OREGON,2,0.0011453726318881,9.46716857985518e-08
1429,OREGON,2,0.0014382411186384,9.2830294865962e-08
1430,OREGON,2,0.000675572517915,3.15059218813906e-08
1431,OREGON,2,0.0005267278854436,1.64521655282306e-08
1432,OREGON,2,0.000702289218856,3.43027402404665e-08
1433,OREGON,2,0.0004882577731256,1.47484239103569e-08
1434,OREGON,2,0.0003374287986256,6.56136159977716e-09
1435,OREGON,2,0.0037030240963213,8.06716163485774e-07
1436,OREGON,2,0.0004957100520822,1.74107269073273e-08
1437,OREGON,2,0.0005496708999687,2.14787754231294e-08
1438,OREGON,2,0.0008710797105449,5.17027190214996e-08
1439,OREGON,2,0.0004323730759996,1.14341598862622e-08
1440,OREGON,2,0.0009260410105101,5.17049071596615e-08
1441,OREGON,2,0.0009316312413385,5.29957370586803e-08
1442,OREGON,2,0.001008573075251,5.11340220772556e-08
1443,OREGON,2,0.0003515436367842,7.393136146962751e-09
1444,OREGON,2,0.0005320186495735,1.74909965146436e-08
1445,OREGON,2,0.0003298938400662,7.068613201729511e-09
1446,OREGON,2,0.0004307838783462,1.16892255091017e-08
1447,OREGON,2,0.0012576257315406,1.11003567396176e-07
1448,OREGON,2,0.0007275217863106,3.51065148888512e-08
1449,OREGON,2,0.000631365363505,2.77660214941055e-08
1450,OREGON,2,0.0003671086577706,7.470230608376581e-09
1451,OREGON,2,0.0003355897802264,6.87639778508704e-09
1452,OREGON,2,0.0006785946584249,3.11330700489282e-08
1453,WASHINGTON,1,0.0010129561190398,4.5369438720319e-08
1454,WASHINGTON,1,0.0022072298399085,2.73875811675215e-07
1455,OREGON,2,0.0003625060538865,7.52466346834033e-09
1456,OREGON,2,0.0003073946383268,5.9917243296032405e-09
1457,OREGON,2,0.0004008162553674,9.492581597522541e-09
1458,OREGON,1,0.0281575325058117,1.17002130514981e-05
1459,WASHINGTON,1,0.0176213853870868,7.68941189020572e-06
1460,OREGON,1,0.0021755688879326,1.64906018459918e-07
1461,WASHINGTON,1,0.0091600067285982,3.00489046889981e-06
1462,OREGON,2,0.0018127658209539,2.28288180004223e-07
1463,OREGON,1,0.052579243760561,2.70053147559342e-05
1464,OREGON,2,0.0026066517892824,4.84122977763265e-07
1465,OREGON,2,0.0028484740132587,5.91386728235535e-07
1466,OREGON,2,0.0019700291700129,2.77126847665771e-07
1467,OREGON,1,0.0138371444859298,6.78758874235889e-06
1468,OREGON,1,0.0006747457567383,2.80451099847759e-08
1469,WASHINGTON,1,0.0010507565843165,5.3549679602239e-08
1470,WASHINGTON,1,0.0004642488930378,1.34373039703637e-08
1471,WASHINGTON,1,0.0005148307262947,1.77864442405356e-08
1472,WASHINGTON,1,0.000381243561469,9.091351746853571e-09
1473,WASHINGTON,1,0.0155072916011151,5.23682131840415e-06
1474,WASHINGTON,1,0.0008134638579669,3.71481684463744e-08
1475,WASHINGTON,1,0.000441321551219,1.34794540885444e-08
1476,WASHINGTON,1,0.0009376280689077,3.80146061730128e-08
1477,WASHINGTON,1,0.0095146565377179,1.09025491634171e-06
1478,WASHINGTON,1,0.0007684477543022,4.06828715387135e-08
1479,WASHINGTON,1,0.0011910636972274,7.92432103580068e-08
1480,OREGON,1,0.0009585505089967,6.28609751752049e-08
1481,WASHINGTON,1,0.0011765043341531,7.77440339211156e-08
1482,WASHINGTON,1,0.0070392122830489,1.79464305505024e-06
1483,OREGON,1,0.0009237581743758,4.53913286628695e-08
1484,WASHINGTON,1,0.0123085758810029,5.03063481113117e-06
1485,OREGON,2,0.0036990245127824,9.56088865767246e-07
1486,OREGON,1,0.0010623478739094,4.6697157129403e-08
1487,OREGON,2,0.0012612698536712,9.74852758544946e-08
1488,OREGON,2,0.0003676576258698,7.45686436571109e-09
1489,WASHINGTON,1,0.0294514673470835,1.55411077775405e-05
1490,OREGON,2,0.0006051832386759,2.44436630226847e-08
1491,OREGON,2,0.0004323864316852,1.1503575763569e-08
1492,OREGON,2,0.0004302169691792,1.24157241285632e-08
1493,OREGON,2,0.0007733400417508,4.23415881273341e-08
1494,OREGON,1,0.0011651341806932,6.26511299373866e-08
1495,WASHINGTON,1,0.0133285478028041,9.30504368262176e-06
1496,OREGON,1,0.0204459205510052,1.70060164915668e-05
1497,WASHINGTON,1,0.0012260141901197,6.80715731190336e-08
1498,WASHINGTON,1,0.0010708361672762,6.39386776991333e-08
1499,WASHINGTON,1,0.0024952223749202,2.6891522408232e-07
