OBJECTID,LAND_CLASS,CT_LEGEND,STATE_COD,STATE_NAME,CNTY_FIELD,CNTY_COD,CNTY_NAME,LABEL_FLAG,MAP_LABEL,CT_LABEL_Y,CT_LABEL_N,SHAPE_Length,SHAPE_Area
357,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,470.917523077677,-13462.4044948814
358,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,672.980463923275,-15809.0704892893
359,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,12081.2469963742,-1520734.65534142
360,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,681.903372495636,-19245.892905392
361,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,196.519101800698,-2015.67827916442
362,Land,Other States,RI,Rhode Island,CFIPS,0, ,False, , , ,190.333009252806,-1966.77915459956
363,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,396.528621151453,-6795.5871245581
364,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,365.447618014947,-8005.0512507455
365,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,405.496892877526,-8400.90789452664
366,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,708.754174084946,-30656.7876214735
367,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,4290.45841839696,-416520.60528569
368,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,1506.99026335225,-77210.3152369373
369,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,223.70183014006,-3176.51187958909
370,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,9448.20047248569,-1607199.90434496
371,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,223.631487891594,-3654.66642273616
372,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,371.962403273645,-8875.22175876604
373,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,181.075907129597,-2087.30917452024
374,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,632.993381862482,-24844.4309292008
375,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,1201.79127172201,-43895.2938357601
376,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,360.531906322976,-7648.48869133449
377,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,270.602935602273,-5002.62127064032
