OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,SASC_STE_ADSYS_CODE,STE_ADSYS_CODE_DESC,TOWN_NUMBER,TOWN_NAME,YEAR,GlobalID,Shape__Length
9128,691-W-15A,0.0,0.02,5,"Ramps, Turning Roadways or Connectors",131,SOUTHINGTON,2022,fc5c4814-09ba-4a3b-a8f8-12276c0c7173,124.186790324378
9129,691-W-802,0.0,0.37,5,"Ramps, Turning Roadways or Connectors",79,MERIDEN,2022,39e35ab5-6219-4b23-9aa0-6b3479fed310,1955.7944521799
9130,7-N,0.0,0.37,7,"Ramp or TR Serving as mainline, state primary",102,NORWALK,2022,d868383e-957e-48b5-ad6c-ed8d0af6d49e,1947.16563463994
9131,91-S-158,0.0,0.25,5,"Ramps, Turning Roadways or Connectors",164,WINDSOR,2022,1bf5b756-aa5e-4dae-aa19-edd73e7d1e30,1324.98747058543
9132,91-S-17,0.0,0.26,5,"Ramps, Turning Roadways or Connectors",92,NEW HAVEN,2022,11bc7957-111b-4881-9c43-6ee3c55286da,1438.53279374479
9133,91-S-171A,0.0,0.03,5,"Ramps, Turning Roadways or Connectors",164,WINDSOR,2022,e4bc767d-92e6-4d74-a696-ad20a26b9f82,179.680408416517
9134,91-S-189,0.0,0.17,5,"Ramps, Turning Roadways or Connectors",164,WINDSOR,2022,13827b03-e085-4c37-bebd-e362e3f2f904,869.068285541961
9135,91-S-209,0.0,0.3,5,"Ramps, Turning Roadways or Connectors",164,WINDSOR,2022,3094d899-42e8-40b2-99ee-94b50af0fea8,1598.39412775095
9136,91-S-26,0.0,0.23,5,"Ramps, Turning Roadways or Connectors",100,NORTH HAVEN,2022,9dca32e9-60cb-4da8-b45c-a71ee58d15c3,1242.2619789952
9137,91-S-28,0.0,0.15,5,"Ramps, Turning Roadways or Connectors",100,NORTH HAVEN,2022,d2633531-945c-41a2-91ba-f8df5d812bd0,804.437646068377
9138,91-S-43,0.0,0.37,5,"Ramps, Turning Roadways or Connectors",33,CROMWELL,2022,cc584353-0321-4a1a-a502-dcf71650fc9f,2011.24215295122
9139,91-S-49,0.0,0.24,5,"Ramps, Turning Roadways or Connectors",118,ROCKY HILL,2022,df777d2d-6680-486e-8f86-987699bb7f23,1318.68166904314
9140,91-S-49A,0.0,0.05,5,"Ramps, Turning Roadways or Connectors",118,ROCKY HILL,2022,722b7aa1-f0e8-42e5-9de4-8262fc3b207d,282.575495139556
9141,91-S-701,5.91,7.06,5,"Ramps, Turning Roadways or Connectors",63,HARTFORD,2022,96f19906-194a-4e28-82b9-dc4814ce3cb3,6098.44058308665
9142,3-N,5.43,8.22,2,State Secondary (State Maintained),118,ROCKY HILL,2022,bdc92407-56fd-48b9-b92c-9546da0f53bd,14731.2228974556
9143,3-N,8.22,11.28,2,State Secondary (State Maintained),159,WETHERSFIELD,2022,13953fdf-87e0-4c96-88d7-8f4197402bf2,16199.8693571943
9144,3-N,11.86,13.73,1,State Primary (State Maintained),53,GLASTONBURY,2022,e3123e76-e422-42e0-a641-68079d642dcf,9827.11727263845
9145,3-S-2A,0.0,0.05,5,"Ramps, Turning Roadways or Connectors",53,GLASTONBURY,2022,15eee18f-c5e3-42ad-96ee-592fe53c0e56,287.719865045286
9146,30-N,0.0,5.52,2,State Secondary (State Maintained),132,SOUTH WINDSOR,2022,d1e3d2d0-bab9-453e-8fad-24c827110054,29098.1098206723
9147,30-N,6.82,12.22,2,State Secondary (State Maintained),146,VERNON,2022,d99913fc-b362-46d1-b36f-39917ea3f1c0,28495.7807472587
9148,302-E,1.72,3.69,2,State Secondary (State Maintained),9,BETHEL,2022,ba39a0df-ff33-4584-a98b-e6e286ed4155,10410.1142183132
9149,2A-E-4,0.0,0.24,5,"Ramps, Turning Roadways or Connectors",85,MONTVILLE,2022,63d273dc-e08e-40f4-9ad5-d72d6a494cc8,1280.0422550623
9150,3-N,2.96,5.43,2,State Secondary (State Maintained),33,CROMWELL,2022,b1198aa9-69fa-4d5e-9cf5-a97cf91e8f30,13013.2183820306
9151,3-N,13.84,14.45,7,"Ramp or TR Serving as mainline, state primary",42,EAST HARTFORD,2022,3f4b0300-5da6-420e-acf3-e359499615b0,3172.60368063836
9152,3-N-801,0.0,0.29,5,"Ramps, Turning Roadways or Connectors",53,GLASTONBURY,2022,83b5e190-eb5f-4440-a34d-dfa274310ceb,1514.60481733444
9153,3-S-4A,0.0,0.03,5,"Ramps, Turning Roadways or Connectors",53,GLASTONBURY,2022,0ea70746-cd01-4267-b84b-b36f78f1d2c3,192.492743997095
9154,7-N,12.37,13.16,1,State Primary (State Maintained),117,RIDGEFIELD,2022,246a4219-3412-4e67-b02b-852d9565dda2,4153.30886865675
9155,7-N-48A,0.0,0.02,5,"Ramps, Turning Roadways or Connectors",34,DANBURY,2022,951b0d8f-b686-4af9-9b0c-18355e1285fe,134.753039811808
9156,7-S-54A,0.0,0.01,5,"Ramps, Turning Roadways or Connectors",34,DANBURY,2022,817ed07b-2f78-46c4-8f79-75efb51e8d06,91.6820928981095
9157,7-S-61,0.0,0.33,5,"Ramps, Turning Roadways or Connectors",18,BROOKFIELD,2022,1ef84f4d-e3b5-458b-846b-b45638b3300a,1725.15873572776
