OBJECTID,RMA_DSG,RMA_NAME,RMZ_NAME,BLM_ORG_CD,PLANID,GIS_ACRES,WEB_DOC_PATH,GLOBALID,SHAPE_Length,SHAPE_Area
4617,ERMA,,,ORV04,Unknown,79.42330835,,{663714D0-38F3-45AB-86B6-8D85497115B8},3363.52451309583,626652.880678264
4618,ERMA,,,ORV04,Unknown,949.67440626,,{1A23EEE4-208F-496C-A606-FC5AB24C813D},13411.7723464566,7492569.0434896
4619,ERMA,,,ORV04,Unknown,354.3407022,,{B0B1EFE4-169E-45A0-ACE9-7EDCAACF979C},10035.3044588101,2795551.60364647
4620,ERMA,,,ORV04,Unknown,640.46081037,,{7B2C7359-3B27-4ED8-B481-5209F040D181},8991.42418756942,5052778.27732752
4621,ERMA,,,ORV04,Unknown,644.58961533,,{E97B3CBE-ACDD-41EF-93F6-854DBE692B8A},9021.4891405361,5086530.4425496
4622,PLND,,,ORP06,Unknown,197.93841134,,{EF460420-6E18-459E-885A-D968EB7F8B01},6705.31138482835,1560788.17195742
4623,ERMA,,,ORV04,Unknown,40.8415496,,{F1D085E2-95B6-4B11-9134-A0C8FE6A8CA4},2288.00577875814,322326.870910395
4624,PLND,,,ORN03,Unknown,630.50203363,,{5C266E72-C3A7-4B0E-A075-B48F56E9B2AD},8900.01245747096,4975542.61538224
4625,PLND,,,ORN03,Unknown,648.19332379,,{FBB6810A-8E4B-4FC8-A159-4D8157D79D50},9046.23107745877,5115224.66130295
4626,ERMA,Upper Lake Creek,,ORN03,Northwestern and Coastal Oregon RMP 2016,665.01216926,https://eplanning.blm.gov/public_projects/lup/57902/88402/105786/Eugene_RMA.pdf#page=120,{F4193D8D-1FEE-4DF0-B5C5-E668F8D9BF7A},9153.88337133316,5247836.88860956
4627,ERMA,Hult Reservoir Non-Motorized Trail,,ORN03,Northwestern and Coastal Oregon RMP 2016,0.56946616,https://eplanning.blm.gov/public_projects/lup/57902/88402/105786/Eugene_RMA.pdf#page=43,{071B768D-13D1-4DE9-BB7C-491BF8C10848},501.510340701989,4494.89514515097
4628,ERMA,,,ORV04,Unknown,78.87209244,,{2E6DFEA7-7917-4232-8B52-5556727B9308},3363.69845522934,622512.245213919
4629,PLND,,,ORP06,Unknown,636.81545071,,{B1D63DA7-FC55-4848-829D-D6FA6664ED01},8963.8737762623,5021938.69646953
4630,PLND,,,ORN05,Unknown,39.66541649,,{C707BBD3-8C0C-411A-9CCC-F6F3324D0707},2238.70551345603,313110.856386709
4631,PLND,,,ORP04,Unknown,695.20558421,,{E5BFFAA7-01C3-4426-BF85-720ACF6FD053},9963.41949045765,5482769.69619935
4632,SRMA,South Fork John Day River SRMA,,ORP04,John Day Basin Resource Management Plan (2015),592.24542167,,{50619EF7-8933-4F9F-94D9-F58615A633A6},12346.8494050555,4669508.37499778
4633,PLND,,,ORN05,Unknown,156.18297167,,{B98EEE1D-4A2E-4B28-9478-F2935843A014},5550.64422918756,1232882.59867368
4634,SRMA,High Desert,Bend/Redmond Recreation Management Area,ORP06,Upper Deschutes Resource Management Plan (2005),40.50945912,,{7161B798-7F8B-4BF3-BF6A-62CCA8460EC2},2259.47477674329,319561.522348297
4635,ERMA,,,ORV04,Unknown,78.81916186,,{6863C034-2970-4BE7-AA2F-D13A93A1CA08},3343.80835250908,622334.612968363
4636,ERMA,,,ORV04,Unknown,201.50081013,,{0F5ACC5E-64C7-48D3-A183-F5468FFF8CD9},5641.95458582218,1590507.79910347
4637,PLND,,,ORN05,Unknown,121.54927707,,{64F0A385-5E97-4CC3-898B-F8D04C4D27ED},4524.14118774297,959811.373643274
4638,PLND,,,ORN05,Unknown,27.29106987,,{E1C2C7C3-643A-4FFA-8B46-9A44E00C56E1},3245.9756428324,215511.805462249
4639,ERMA,Upper Lake Creek,,ORN03,Northwestern and Coastal Oregon RMP 2016,168.90064921,https://eplanning.blm.gov/public_projects/lup/57902/88402/105786/Eugene_RMA.pdf#page=120,{9ACCFF13-FB02-4940-BB93-70A6949155E1},6435.63154543789,1333562.27965224
4640,ERMA,Upper Lake Creek,,ORN03,Northwestern and Coastal Oregon RMP 2016,859.05700997,https://eplanning.blm.gov/public_projects/lup/57902/88402/105786/Eugene_RMA.pdf#page=120,{6C8C1E18-E962-4C17-BB66-A6E829658FCB},20220.3816194662,6779725.12624009
4641,SRMA,Hult Reservoir Recreation Area,,ORN03,Northwestern and Coastal Oregon RMP 2016,20.8552787,https://eplanning.blm.gov/public_projects/lup/57902/88402/105786/Eugene_RMA.pdf#page=46,{80C0D502-A870-4C95-862E-3865801C35A6},3114.13648354044,164602.746910307
4642,SRMA,Hult Equestrian Staging Area,,ORN03,Northwestern and Coastal Oregon RMP 2016,0.20567584,https://eplanning.blm.gov/public_projects/lup/57902/88402/105786/Eugene_RMA.pdf#page=40,{5F41B01F-6BFE-4619-A77F-162FD368BA71},179.15135686506,1622.98338620028
4643,ERMA,Hult Reservoir Non-Motorized Trail,,ORN03,Northwestern and Coastal Oregon RMP 2016,65.1527316,https://eplanning.blm.gov/public_projects/lup/57902/88402/105786/Eugene_RMA.pdf#page=43,{3719C88A-5424-40B5-AC1E-708E84DFD1C9},3332.69551439419,514203.643322857
4644,PLND,,,ORN03,Unknown,639.57294902,,{D608936A-93C5-4186-AF77-AE431BE4A6E3},8963.11441277276,5049628.09413578
4645,ERMA,,,ORV04,Unknown,1.30143081,,{FA7DD4D2-2513-4AB0-A22A-AB997039ABAE},430.481198396912,10278.0817715764
4646,PLND,,,ORP06,Unknown,39.6286962,,{6C9F3218-1306-4193-BD5E-9E820E915C7D},2236.85918452035,312720.609419391
4647,PLND,,,ORP06,Unknown,319.09161551,,{352AC74D-5888-441F-9F12-9AA1E31787A7},6730.75707329221,2517607.92466008
4648,PLND,,,ORN05,Unknown,80.89949393,,{254E10A0-3C53-4887-A12D-DC4535DA554F},3411.8423099002,638948.871067031
4649,PLND,,,ORP04,Unknown,30241.08588706,,{A41FC0AB-17DC-439E-A01B-4118DBFDAB36},161496.28555145,238335885.088009
4650,PLND,,,ORP04,Unknown,490.9266727,,{E0693860-D39C-4B78-94B4-CBE3964D079C},9132.45591616129,3873104.40524203
4651,ERMA,,,ORV04,Unknown,80.49125091,,{E9AAE767-EB5B-484E-ABB1-12A5DADCFC0C},3382.74811668997,635599.797752099
4652,ERMA,,,ORV04,Unknown,321.36913041,,{1236F089-17E9-48B8-9633-B5793D7ECD6C},6748.88179961763,2537553.94108377
4653,SRMA,South Fork John Day River SRMA,,ORP04,John Day Basin Resource Management Plan (2015),552.23751195,,{0164AA0F-1329-4C18-9CBC-C1B6D4C2084D},8930.08426475087,4357508.96136421
4654,ERMA,,,ORV04,Unknown,8209.07066189,,{D69D3D22-9164-469B-BD5F-F38EBFEA5FA0},104961.088606699,64733308.6664216
4655,PLND,,,ORP06,Unknown,39.87697165,,{0E44591A-2F6E-4235-9362-5A3FB6F407B4},2244.17878337413,314756.998076824
4656,PLND,,,ORP06,Unknown,118.16188384,,{182383D4-6A60-4E26-8BBE-9B7AAE3E5865},4460.92543643818,932639.278657488
4657,ERMA,,,ORV04,Unknown,37.01053771,,{2F27BEF4-35CE-494B-A2CD-AFF54DCE42B4},2180.68324317197,292341.488161448
4658,PLND,,,ORN03,Unknown,238.76686181,,{601EE32F-9D48-4917-A02F-DAEE9413944C},5608.83414097787,1885964.0240817
4659,ERMA,,,ORV04,Unknown,154.50917982,,{888CD918-7689-471A-9811-CD6782732C30},5490.83025653321,1220357.60069421
4660,ERMA,,,ORV04,Unknown,157.29549898,,{4D7A74A5-514E-4B22-878F-3D363E551325},4459.57316064779,1242568.92507485
4661,PLND,,,ORN05,Unknown,446.50449133,,{6B8CA9F0-4F48-4BBE-9AFC-6B8A8DBFAB89},7927.2635843783,3527216.73479014
4662,SRMA,High Desert,Bend/Redmond Recreation Management Area,ORP06,Upper Deschutes Resource Management Plan (2005),28.54246154,,{EF2F76EC-B806-4AC4-B1EE-AA44D34517D9},1888.48510302978,225325.77340051
