AGE_GROUP,CONFIRMED_by_age,CongregateSetting,FORMRECEIVED_WEEK_ENDING,non_CongregateSetting,REPORTED,ObjectId
45,292,0,2021/11/27 05:00:00+00,292,2022/10/09 10:17:00+00,180
45,501,0,2021/12/04 05:00:00+00,501,2022/10/09 10:17:00+00,181
65,215,0,2021/12/04 05:00:00+00,215,2022/10/09 10:17:00+00,182
20,848,0,2021/12/11 05:00:00+00,848,2022/10/09 10:17:00+00,183
20,752,0,2021/12/18 05:00:00+00,752,2022/10/09 10:17:00+00,184
20,4740,0,2022/01/01 05:00:00+00,4740,2022/10/09 10:17:00+00,185
65,1566,0,2022/01/15 05:00:00+00,1566,2022/10/09 10:17:00+00,186
0,3093,0,2022/01/22 05:00:00+00,3093,2022/10/09 10:17:00+00,187
20,5901,0,2022/01/22 05:00:00+00,5901,2022/10/09 10:17:00+00,188
65,1508,0,2022/01/22 05:00:00+00,1508,2022/10/09 10:17:00+00,189
65,705,0,2022/02/05 05:00:00+00,705,2022/10/09 10:17:00+00,190
20,2132,0,2022/02/12 05:00:00+00,2132,2022/10/09 10:17:00+00,191
65,596,0,2022/02/12 05:00:00+00,596,2022/10/09 10:17:00+00,192
20,581,0,2022/02/26 05:00:00+00,581,2022/10/09 10:17:00+00,193
45,232,0,2022/03/05 05:00:00+00,232,2022/10/09 10:17:00+00,194
45,380,0,2022/03/19 04:00:00+00,380,2022/10/09 10:17:00+00,195
0,152,0,2022/03/26 04:00:00+00,152,2022/10/09 10:17:00+00,196
20,142,0,2022/03/26 04:00:00+00,142,2022/10/09 10:17:00+00,197
0,2,0,2020/03/21 04:00:00+00,2,2022/10/09 10:17:00+00,198
20,1,0,2020/03/21 04:00:00+00,1,2022/10/09 10:17:00+00,199
20,32,0,2020/03/28 04:00:00+00,32,2022/10/09 10:17:00+00,200
65,150,10,2021/02/27 05:00:00+00,140,2022/10/09 10:17:00+00,201
45,294,2,2021/03/06 05:00:00+00,292,2022/10/09 10:17:00+00,202
65,93,0,2021/03/13 05:00:00+00,93,2022/10/09 10:17:00+00,203
0,164,0,2021/04/17 04:00:00+00,164,2022/10/09 10:17:00+00,204
45,164,0,2021/04/17 04:00:00+00,164,2022/10/09 10:17:00+00,205
65,51,0,2021/04/17 04:00:00+00,51,2022/10/09 10:17:00+00,206
45,134,0,2021/04/24 04:00:00+00,134,2022/10/09 10:17:00+00,207
0,164,0,2021/05/22 04:00:00+00,164,2022/10/09 10:17:00+00,208
65,41,0,2021/05/22 04:00:00+00,41,2022/10/09 10:17:00+00,209
65,21,0,2021/06/12 04:00:00+00,21,2022/10/09 10:17:00+00,210
65,18,0,2021/06/26 04:00:00+00,18,2022/10/09 10:17:00+00,211
65,17,0,2021/07/03 04:00:00+00,17,2022/10/09 10:17:00+00,212
65,22,0,2021/07/10 04:00:00+00,22,2022/10/09 10:17:00+00,213
45,89,0,2021/07/17 04:00:00+00,89,2022/10/09 10:17:00+00,214
65,37,0,2021/07/17 04:00:00+00,37,2022/10/09 10:17:00+00,215
20,331,0,2021/07/24 04:00:00+00,331,2022/10/09 10:17:00+00,216
45,123,0,2021/07/24 04:00:00+00,123,2022/10/09 10:17:00+00,217
20,545,0,2021/07/31 04:00:00+00,545,2022/10/09 10:17:00+00,218
20,810,0,2021/08/07 04:00:00+00,810,2022/10/09 10:17:00+00,219
0,501,0,2021/08/14 04:00:00+00,501,2022/10/09 10:17:00+00,220
20,905,0,2021/08/14 04:00:00+00,905,2022/10/09 10:17:00+00,221
65,306,0,2021/08/21 04:00:00+00,306,2022/10/09 10:17:00+00,222
20,1446,0,2021/08/28 04:00:00+00,1446,2022/10/09 10:17:00+00,223
45,714,0,2021/08/28 04:00:00+00,714,2022/10/09 10:17:00+00,224
20,1290,0,2021/09/04 04:00:00+00,1290,2022/10/09 10:17:00+00,225
20,1112,0,2021/09/11 04:00:00+00,1112,2022/10/09 10:17:00+00,226
45,729,0,2021/09/18 04:00:00+00,729,2022/10/09 10:17:00+00,227
65,352,0,2021/09/18 04:00:00+00,352,2022/10/09 10:17:00+00,228
0,715,0,2021/09/25 04:00:00+00,715,2022/10/09 10:17:00+00,229
45,480,0,2021/09/25 04:00:00+00,480,2022/10/09 10:17:00+00,230
0,754,0,2021/10/09 04:00:00+00,754,2022/10/09 10:17:00+00,231
