OBJECTID,SMPOLY_COD,SURFM_POLY,DESCRIP,IMS_LEGEND,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
4743,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,11.37250041,0.0177695,5422.6756358925,495386.489668025
4744,SW,Swamp,Swamp,Natural Postglacial,97.17680358,0.151839,17689.8665378125,4233021.96376153
4745,TT,Thick Till,Thick Till,Thick Till,60.67890167,0.09481079,6470.10690771817,2643173.70781167
4746,TT,Thick Till,Thick Till,Thick Till,65.47219848,0.1023,8075.51404434289,2851966.7444586
4747,TT,Thick Till,Thick Till,Thick Till,54.92990112,0.08582799,6359.64997515685,2392747.12563263
4748,SG,Sand+Gravel,Sand and Gravel,Coarse,7.64309978,0.0119423,2661.56509302082,332933.275478414
4749,TT,Thick Till,Thick Till,Thick Till,51.81679916,0.0809637,6905.6561580567,2257138.46649747
4750,SG,Sand+Gravel,Sand and Gravel,Coarse,70.66629791,0.110416,10238.9667254161,3078225.94762614
4751,T,Till,Till,Till,1.94919002,0.0030456,1174.90977614534,84906.7854538706
4752,W,Water,Water,Water,23.06850051,0.0360446,8458.48001617421,1004866.04148149
4753,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,5.01734018,0.00783959,2378.43450715396,218555.040165819
4754,T,Till,Till,Till,7.00080013,0.01093879,2291.80219216549,304954.909299665
4755,SG/S,Sand+Gravel/Sand,Sand and Gravel overlying Sand,Stacked Coarse,151.27400207,0.236365,10929.2989336229,6589478.34020261
4756,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,30.5876007,0.04779319,14619.5673936588,1332397.5469606
4757,SW,Swamp,Swamp,Natural Postglacial,19.23279953,0.03005119,4202.57883395332,837778.774306475
4758,T,Till,Till,Till,22.19269943,0.0346761,3730.92821743608,966715.288312941
