OBJECTID,ID305B,MILES_SQUARE,CYCLE,NAME,MARINE_AQUATIC_LIFE,RECREATION,FISH_CONSUMPTION,SHELLFISH,IMPAIRED,SHAPE_Length,SHAPE_Area
102,CT-C3_014-SB,7.961,2012,"LIS CB Midshore - New Haven Harbor, West Haven",Not Supporting,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,Yes,69000.5834547377,221950797.418209
103,CT-E3_004,6.738,2012,"LIS EB Midshore - Groton, Thames River",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,81868.1818406597,187854525.838048
104,CT-E3_002,4.414,2012,LIS EB Midshore - Stonington Harbor,Not Assessed,Not Assessed,Fully Supporting,Fully Supporting Harvesting for Direct Consumption,No,54984.1387003132,123057373.223753
105,CT-E1_003,0.094,2012,"LIS EB Inner - Inner Wequetequock Cove, Stonington",Insufficient Information,Insufficient Information,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,19178.115042433,2631438.84704397
106,CT-E1_007-SB,0.453,2012,"LIS EB Inner - Mystic River (Mouth), Stonington",Fully Supporting,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,No,46973.1376835794,12632234.0170407
107,CT-E1_008-SB,0.954,2012,"LIS EB Inner - Mystic Harbor, Groton",Insufficient Information,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,No,57194.8888637775,26598243.9123062
108,CT-C2_013,0.567,2012,"LIS CB Shore - Indian Neck, Branford",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,36936.9040296934,15818044.8647062
109,CT-C3_010,8.554,2012,"LIS CB Midshore - Indian Neck, Branford",Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,69642.302086243,238458705.48073
110,CT-W3_003,6.059,2012,"LIS WB Midshore - Bridgeport Hbr, West, Bridgeport",Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,64565.8310752551,168911527.666804
111,CT-C2_006,0.399,2012,"LIS CB Shore - Madison Beaches (East), Madison",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,36611.9739566144,11113917.5848109
112,CT-W2_024,0.34,2012,"LIS WB Shore - Byram Harbor, Greenwich",Not Assessed,Not Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,28337.3321484333,9466636.36527024
113,CT-E4_003,11.837,2012,LIS EB Offhsore - Old Lyme,Fully Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",No,80234.8098044702,330006876.621942
114,CT-E4_004,9.44,2012,LIS EB Offshore - Old Saybrook,Fully Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",No,74588.3286828901,263184372.445871
115,CT-C3_007,7.089,2012,"LIS CB Midshore - Sachem Head Harbor, Guilford",Fully Supporting,Not Assessed,Fully Supporting,Fully Supporting Harvesting for Direct Consumption,No,65504.9847170054,197621763.160976
116,CT-W2_011,0.43,2012,"LIS WB Shore - Canfield Island, Westport",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,52718.8457352264,11976498.4582671
117,CT-W3_008-I,5.94,2012,"LIS WB Midshore - Norwalk Islands, Norwalk",Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,144644.657657696,165604705.084903
118,CT-E1_028-SB,0.105,2012,"LIS EB Inner - Leiutenant River, Old Lyme",Not Assessed,Not Supporting,Fully Supporting,Not Assessed Commercial Harvesting where Authorized,Yes,34788.936712656,2917641.93921078
119,CT-W2_004,0.407,2012,"LIS WB Shore - Outer Bridgeport Harbor, Fairfield",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,25131.538482968,11360144.726116
120,CT-W2_005,0.37,2012,"LIS WB Shore - Pine Creek Point, Fairfield",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,22728.2139088946,10308710.2253424
121,CT-W2_016,0.718,2012,"LIS WB Shore - Scott Cove, Darien",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,67235.5811465755,20014992.8312509
122,CT-W3_009,2.453,2012,"LIS WB Midshore - Outer Fivemile R Estuary, Darien",Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,37578.6496338355,68390926.9491361
123,CT-E2_003,0.388,2012,"LIS EB Shore - Outer Quiambaug Cove, Stonington",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,26208.4311734603,10821502.4891779
124,CT-E2_008,0.235,2012,"LIS EB Shore - Bluff Point, Groton",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,15609.5219742024,6538221.73176757
125,CT-E2_006,0.422,2012,"LIS EB Shore - West Cove (Groton Long Pt), Groton",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,29119.2075346326,11768503.7606854
126,CT-E2_012,0.465,2012,"LIS EB Shore - Outer Jordan Cove, Waterford",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,29096.1986270915,12960706.4631773
127,CT-E2_015,0.554,2012,"LIS EB Shore - Niantic Bay (Black Pt), East Lyme",Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,34211.0484188985,15452756.6046889
128,CT-C2_020-SB,0.385,2012,"LIS CB Shore - New Haven Harbor (SWest), Milford",Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,No,25682.702531667,10741497.6852812
129,CT-C2_023,0.577,2012,"LIS CB Shore - Walnut Beach, Milford",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,34758.0261511459,16085441.7086971
