OBJECTID,ID,SURFACE_MATERIAL,MAINTENANCE_RESPONSIBILITY,WIDTH,COMMENTS,GLOBALID,PLAN_NUM,MAPNUM,DEEDBOOK,DEEDPAGE,TRAIL_NAME,ADDITION_TRAIL_NAME,TRAILOWNER,TRAILNAME,SOURCEDATE,SOURCETYPE,ADA,SIGNAGE,RESTRICTION,PARK_REGISTRY_ID,TRIRIGA_ID,SENSITIVE_RESOURCE,DIFFICULTY,STEPS,PARK_NAME,SUPERVISOR_DISTRICT,PLANNING_DISTRICT,MAINTENANCE_AREA,CreationDate,Creator,EditDate,Editor,Shape__Length
4914,802115,Concrete,Fairfax County Park Authority,6.0,,3d34f00d-6732-4986-9e50-a56db31536a7,,0532,,,Cub Run Chalet Woods Trail,,,,2007/03/20 00:00:00+00,GPS,,,,61.0,PA61-TRL-C,, ,F,Cub Run Stream Valley,Sully,Bull Run,5,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,132.177719419806
4915,801625,Asphalt,Fairfax County Park Authority,6.0,,309b3bbe-88f1-4aa0-828c-19ae18747935,,0542,,,,,,,2007/03/27 00:00:00+00,GPS,,,,273.0,PA273-TRL-A,, ,F,Rocky Run Stream Valley,Sully,Bull Run,5,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,235.236149144133
4917,804288,Asphalt,Fairfax County Park Authority,6.0,CCT,bb3ffdd5-6f2a-4e67-96d7-f15c76724445,,0484,,,Cross County Trail,,,,2007/04/17 00:00:00+00,GPS,,,,1.0,PA1-TRL-A,, ,F,Accotink Stream Valley,Providence,Fairfax,2,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,2683.84162384008
4918,801682,Bridge,Fairfax County Park Authority,6.0,,93e22299-4849-47e1-916c-f7196a90f69c,,0542,,,,,,,2007/03/28 00:00:00+00,GPS,,,,77.0,PA77-TRL-BG,, ,F,Ellanor C. Lawrence,Sully,Bull Run,5,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,108.430722091476
4919,802909,Bridge,Fairfax County Department of Public Works,6.0,,731db47b-b228-4c32-be9a-01f156afe045,,0691,,,,,,,2007/03/30 00:00:00+00,GPS,,,,196.0,PA196-TRL-BG,,,F,Long Branch Stream Valley,Braddock,Fairfax,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,218.534651974165
4920,804675,Asphalt,Fairfax County Park Authority,6.0,,a81ba9c0-c157-4b49-8f53-7b40d434a495,,0401,,,,,,,2007/04/20 00:00:00+00,GPS,,,,249.0,PA249-TRL-A,, ,F,Pimmit View,Dranesville,McLean,1,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,346.728996857373
4921,803066,Gravel,Fairfax County Park Authority,4.0,,ff329df5-3f9c-479d-a24c-de60baa9f01c,,0762,,,,,,,2007/04/24 00:00:00+00,GPS,,,,253.0,PA253-TRL-G,, ,F,Piney Branch Stream Valley,Springfield,Pohick,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,174.076743612365
4922,801118,Natural,Fairfax County Park Authority,4.0,,c3c0c9be-a153-4c91-876d-1326fe05f484,,0084,,,Connector Trail,,,,2007/02/28 00:00:00+00,GPS,,,,272.0,PA272-TRL-N,, ,F,Riverbend,Dranesville,Upper Potomac,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,219.309131856643
4923,800489,Asphalt,Fairfax County Park Authority,6.0,,31cfe804-1532-4b51-9d4f-026020398d48,,0171,,,,,,,2007/03/01 00:00:00+00,GPS,,,,269.0,PA269-TRL-A,, ,F,Reston North,Hunter Mill,Upper Potomac,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,96.6760574380206
4924,800394,Asphalt,Fairfax County Park Authority,6.0,CCT,b91013ad-e533-4621-87cc-2abbed3ab4b4,,0792,,,Cross County Trail,,,,2007/01/30 00:00:00+00,GPS,,,,167.0,PA167-TRL-A,, ,F,Lake Accotink,Braddock,Annandale,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,26.1485191558156
