OBJECTID,COORD_SRC_TYPE,COORD_SRC2,DEF_FET_TYPE,DEF_FET2,ACCURACY_FT,GlobalID,ADMIN_ST,SHAPE_Length
4673,MAP,MAP,UNK,UNK,-1,{B58712F9-3A8B-4E37-B1D7-C373699ACA20},UT,10280.9434366381
4674,MAP,MAP,UNK,UNK,-1,{D878FB26-359B-49DE-9466-6C50F105C5AD},UT,6425.52941148494
4675,MAP,MAP,UNK,UNK,-1,{D1772DEF-A5EA-4D03-B10D-54E629A83F2D},UT,2487.53473116746
4676,MAP,MAP,UNK,UNK,-1,{162D2DF2-ED63-4543-90B7-2EA2E454D0E9},UT,7361.01517864216
4677,MAP,MAP,UNK,UNK,40,{A7F0C160-A2FB-4E6D-8800-0ABA4ACBA5FC},UT,2684.4475524647
4678,MAP,MAP,UNK,UNK,-1,{DE73777B-129E-4045-824E-C1C215414114},UT,2999.19167806871
4680,MAP,MAP,UNK,UNK,40,{25ECAC16-F073-4B12-AC52-04205F8EE245},UT,3440.8819543275
4681,MAP,MAP,UNK,UNK,-1,{76ECE8AE-AC4C-4043-8B05-D7EE44533799},UT,17300.8406876217
4682,DEM,DEM,LANDFORM,RIM,40,{58E7BAE4-81E6-47CF-ADDB-F13A18E17588},UT,146.931563297181
4683,DEM,DEM,LANDFORM,RIM,40,{3E3AED1B-1216-4058-A010-4E99C071E9E8},UT,14212.3593024254
4684,MAP,MAP,UNK,UNK,-1,{522FC970-8B84-41D8-A72C-7E5B25601112},UT,10127.5185542115
