X,Y,OBJECTID,FEATURE_TYPE,GlobalID
437820.553125,32651.0734375007,240,Quarry,{D0305E20-DC89-4DF9-B8B5-1321212199B5}
437239.71953125,34365.6660937499,241,Quarry,{25A27D7E-521A-4DBA-9287-1E2514200F5F}
438465.9721875,37326.0776562504,242,Quarry,{A4550F5E-1C42-4B83-BB9F-F0F0011F90BB}
438244.4540625,32832.7198437508,243,Quarry,{0128AE5A-8E47-4E2D-A6BB-D62A726F58FD}
453792.7925,27680.2245312501,244,Quarry,{FF62DE90-25B9-41BE-B002-935E637AFA8D}
442041.4925,223247.206875,245,Quarry,{208AEB0D-282E-4463-AF09-2ED664BD570A}
441785.45984375,225688.999062501,246,Quarry,{AFCAC893-C827-4B85-BCCB-18165F49D5D5}
445507.41484375,224693.316875,247,Quarry,{D4CCE178-BC28-4819-86AE-977630DAEF5B}
446062.1521875,224375.646875,248,Quarry,{F20C9FAD-66EC-4D26-AF9C-B5000C43C0FC}
445128.10734375,223076.518437499,249,Quarry,{BEB11D59-F816-456B-9E84-0A034C7923AE}
445640.1725,222578.67734375,250,Quarry,{4A089048-9F14-4EC5-9B42-C0424BCB1709}
453861.79265625,224112.928125,251,Quarry,{3947604B-00A0-4D28-B86E-B03DE213E2E3}
459366.49296875,224166.268281249,252,Quarry,{979C009F-3E17-4625-B275-BC89A36348D2}
455138.39953125,225933.604374999,253,Quarry,{8D4F9B60-26E6-4DBE-8151-19FAE4726E6A}
455159.73546875,225538.887343749,254,Quarry,{F8933EB3-C33F-4B2A-8B1C-C9496A74648F}
451180.56265625,226324.76515625,255,Quarry,{D998A2D1-4ED7-41F0-B1E2-75924D97C00C}
447066.26140625,227391.567500001,256,Quarry,{863B6CF2-CABF-482E-9968-1A0AA5B674B8}
442791.93984375,227121.3109375,257,Quarry,{87F17FB3-1234-4B01-B738-A1E20535ABB6}
442806.16375,226971.95859375,258,Quarry,{636E3394-25DE-415E-9CC4-27298C15F4EC}
442511.01515625,227117.754843749,259,Quarry,{286056D0-D935-4664-A8A7-DC86E68EC517}
442706.595625,227274.219374999,260,Quarry,{D4B34C77-7816-4401-B18A-A3FD61D1DFF3}
441397.9846875,226548.793593749,261,Quarry,{18613535-C413-4D40-8E38-BA517F89FA17}
441063.71984375,226125.62875,262,Quarry,{A8927995-94F8-46B2-92CF-7A10B2FFC660}
440957.0396875,226239.420937501,263,Quarry,{51B1CD07-2913-4DA2-B335-2D26676B364B}
446756.88875,228237.897343749,264,Quarry,{D632BD49-7429-4751-A7FE-97E6B6508923}
453047.466875,229628.2965625,265,Quarry,{D3FF8C8C-2A50-4942-860A-CE6162A88614}
460191.486875,229457.608124999,266,Quarry,{BC9FA872-7139-42FB-BEBC-3FBE8C2056D6}
459579.8534375,227775.616406251,267,Quarry,{6125EEBB-E136-4DB1-A94A-CD0903218B0A}
455707.36078125,231673.001093751,268,Quarry,{B677031B-1DF6-446D-8B56-3AEA66C90E81}
453499.07984375,231232.056093751,269,Quarry,{601EAE20-E0BA-46E5-B5D0-6F8D0CBE9001}
453740.8884375,231100.48390625,270,Quarry,{1E735F26-8398-4178-90F6-0167748600DC}
458238.116875,235142.662656249,271,Quarry,{07005280-DCC6-4207-9C68-DE9650CFAFC5}
459192.51109375,235201.84984375,272,Quarry,{CA5C4084-7BD5-4D47-A419-DFB0DB98C223}
459040.84375,234809.734375,273,Quarry,{1304C5A5-D4D2-4D2E-827F-AD4CED5C4C18}
