Facilty_Number,Facility_Name,Address,Zip,Area_Number,Program_Code,Establishment_Type,Status,Score_Recent,DateRecent,Score2,Date2,Score3,Date3,ObjectId
35300,DEPAUL SCHOOL,1925 DUKER AVE,40205,29,635,SCHOOLS,ACTIVE,96,2023/03/08 00:00:00,100,2022/09/26 00:00:00,100,2022/05/04 00:00:00,106
59559,STONEGATE MOBILE HOME COMMUNITY,12200 DIXIE HWY,40272,25,625,MOBILE HOME / REC. VEHICLE PARK,ACTIVE,100,2022/10/07 00:00:00,96,2021/10/21 00:00:00,100,2020/10/16 00:00:00,107
35463,ST. ANDREW ACADEMY,7724 COLUMBINE DRIVE,40258,23,635,SCHOOLS,ACTIVE,100,2023/03/22 00:00:00,95,2022/10/11 00:00:00,91,2022/04/12 00:00:00,108
104197,DUPONT SUITES,1401 BROWNS LANE,40207,26,620,HOTEL / MOTEL,ACTIVE,95,2022/10/27 00:00:00,100,2021/11/11 00:00:00,92,2019/02/28 00:00:00,109
96457,CANDLEWOOD SUITES LOUISVILLE AIRPORT,1367 GARDINER LANE,40213,26,620,HOTEL / MOTEL,ACTIVE,74,2023/05/18 00:00:00,89,2022/03/14 00:00:00,94,2019/12/19 00:00:00,110
96487,HILTON GARDEN INN LOUISVILLE DOWNTOWN,350 W. CHESTNUT ST,40202,28,620,HOTEL / MOTEL,ACTIVE,92,2023/02/10 00:00:00,91,2022/01/31 00:00:00,96,2021/02/02 00:00:00,111
35326,PLEASURE RIDGE PARK CAREER MAGNET SCHOOL,5901 GREENWOOD RD,40258,23,635,SCHOOLS,ACTIVE,98,2023/03/09 00:00:00,98,2023/03/09 00:00:00,94,2022/12/06 00:00:00,112
35464,HOLY CROSS HIGH SCHOOL,5144 DIXIE HIGHWAY,40216,23,635,SCHOOLS,ACTIVE,98,2023/04/13 00:00:00,100,2022/11/21 00:00:00,100,2022/03/01 00:00:00,113
104363,MNO SALON,112 FAIRMEADE RD,40207,26,634,TATTOO STUDIO,ACTIVE,100,2022/12/16 00:00:00,95,2022/04/11 00:00:00,100,2019/04/23 00:00:00,114
80485,TATTOO CHARLIE'S OF PRP,7640 DIXIE HWY,40258,23,644,BODY PIERCING STUDIO,ACTIVE,96,2023/02/03 00:00:00,100,2022/11/23 00:00:00,100,2022/05/11 00:00:00,115
96651,HYATT PLACE LOUISVILLE EAST,701 S. HURSTBOURNE PARKWAY,40222,29,620,HOTEL / MOTEL,ACTIVE,87,2022/12/21 00:00:00,88,2021/12/21 00:00:00,94,2020/01/17 00:00:00,116
35330,PORTLAND ELEMENTARY SCHOOL,3410 NORTHWESTERN PARKWAY,40212,24,635,SCHOOLS,ACTIVE,98,2023/03/01 00:00:00,100,2022/10/20 00:00:00,100,2022/02/16 00:00:00,117
104498,OMNI HOTEL,400 S 2ND ST,40202,24,620,HOTEL / MOTEL,ACTIVE,100,2022/12/28 00:00:00,94,2022/01/03 00:00:00,90,2020/01/03 00:00:00,118
80486,TATTOO CHARLIE'S OF PRP,7640 DIXIE HWY,40258,23,634,TATTOO STUDIO,ACTIVE,95,2023/02/03 00:00:00,100,2022/11/23 00:00:00,100,2022/05/11 00:00:00,119
35465,ST. RAPHAEL SCHOOL,2131 LANCASHIRE AVENUE,40205,29,635,SCHOOLS,ACTIVE,96,2023/02/22 00:00:00,96,2022/09/12 00:00:00,100,2022/01/25 00:00:00,120
97063,COURTYARD BY MARRIOTT,100 S. 2ND ST.,40202,28,620,HOTEL / MOTEL,ACTIVE,94,2022/12/02 00:00:00,90,2021/11/18 00:00:00,92,2020/11/13 00:00:00,121
35331,S.J. PRICE ELEMENTARY SCHOOL,5001 GARDEN GREEN WAY,40218,27,635,SCHOOLS,ACTIVE,98,2023/02/27 00:00:00,85,2022/12/15 00:00:00,100,2022/02/17 00:00:00,122
104504,BROTHER RAVEN'S TATTOO & ART EMPORIUM,11509 SHELBYVILLE RD STE F,40243,25,634,TATTOO STUDIO,ACTIVE,100,2023/01/04 00:00:00,100,2021/05/06 00:00:00,100,2020/10/08 00:00:00,123
