ObjectId,Source_Name,Road,From_,To_,Classification,District,Lane_Miles
337,FY 16-17,Cody Ln,Nez Perce Way,Dead End,Local,13,0.268428554
338,FY 16-17,Coogle Ln,National Tnpk,Dead End,Local,13,0.132123695
339,FY 16-17,Cornwallis Ct,Dead end,Dead End,Local,13,0.285408711
340,FY 16-17,Cortland Dr,Apple Valley Dr,Dead End,Local,23,1.330521945
341,FY 16-17,Covey Pl,Stone Bluff Rd,Dead End,Local,24,0.076273322
342,FY 16-17,Crafty Dr,Gilmore Ln,Dead End,Local,21,0.292695157
343,FY 16-17,Creek Trail Ct,Glendale Rd,Dead End,Local,23,0.158041368
344,FY 16-17,Dalton Ridge Pl,Dead end,Dead End,Local,12,0.159204983
345,FY 16-17,Dawn Dr,Christie Ave,Oak Valley Dr,Local,12,1.27666577
346,FY 16-17,Declaration Dr,Old North Church Rd,Dead End,Local,13,0.770302489
347,FY 16-17,Deering Heights Dr,Deering Rd,Dead End,Secondary Collector,14,0.305390596
348,FY 17-18,Arjay Ln,Woodgate Ln,Dead End,Local,26,0.285290836
349,FY 16-17,Leonard Way,New Maple,Fairridge,Local,24,0.273692631
350,FY 17-18,Arlington Rd,Taylorsville Rd,Dead End,Local,26,0.643534013
351,FY 16-17,Lesane Dr,Scottsdale Blvd,Mackie Ln,Local,13,0.570441465
352,FY 17-18,Arnold Palmer Blvd,Lake Forest Pkwy,Oakhurst Rd,Local,19,2.224032923
353,FY 16-17,Lochwick Ct,Lochwick Way,Dead End,Local,14,0.054002695
354,FY 17-18,Athens Dr,Corinth Way,Poplar Level Rd,Local,2,0.691806766
355,FY 16-17,Lochwick Way,Ashby Ln,Sunny Vale Way,Local,14,0.568433428
356,FY 17-18,Automnwood Way,Dead end,Dead End,Local,23,0.205382161
357,FY 16-17,Locklee Rd,Arnoldtown Rd,Dead End,Local,25,0.6019002
358,FY 17-18,Basswood,Lightfoot,Swing,Local,9,0.143154901
359,FY 16-17,Louis Coleman Jr Dr,W Market St,River Park Dr,Local,5,1.131030284
360,FY 17-18,Bayswater Way,Griffin Gate Rd,Kensington Place Ln,Local,10,0.169935658
361,FY 16-17,Lower River Rd,Ashby Ln,Johnsontown Rd,Primary Collector,14,0.730273277
362,FY 17-18,Beachdale Ct,Brookhollow Dr,Dead End,Local,11,0.068914747
363,FY 16-17,Lure Ln,Rod N Reel Rd,Dead End,Local,23,0.064840743
364,FY 17-18,Beau Ct,Pikes Peak Blvd,Dead End,Local,12,0.047429561
365,FY 16-17,Mahogany Dr,Fruitwood Dr,Chestnutwood Way,Local,14,0.40082508
366,FY 17-18,Beech St,Algonquin Pkwy,Conestoga Ave,Local,3,0.34121718
367,FY 16-17,Malcolm Ave,Booker Rd,Dead End,Local,19,0.364529256
368,FY 17-18,Beechlawn Ct,Brookhollow Dr,Dead End,Local,11,0.071768628
369,FY 16-17,Maple Rd,Cooper Chapel Rd,Price Lane Rd,Local,23,0.611618731
370,FY 17-18,Ben Franklin Ct,Old Towne Rd,Dead End,Local,13,0.191761364
371,FY 16-17,Maria Ave,Hayward Rd,Lynn Way,Local,7,0.453692608
372,FY 17-18,Bennington Ct,Old Towne Rd,Dead End,Local,13,0.059412619
373,FY 16-17,Markleham Pl,Markleham Way,Dead End,Local,20,0.116733579
374,FY 17-18,Berrytown Rd,La Grange Rd,N English Station Rd,Local,19,0.613758225
375,FY 16-17,Markleham Way,Wickfield Dr,Dead End,Local,20,0.189874786
376,FY 17-18,Bertie Ave at Thompson,Dead end,Dead End,Local,9,0.066936488
377,FY 17-18,Bessels Blvd,John Adams Way,Wimstock Ave,Local,14,0.469025659
378,FY 17-18,Bettye Ann Ct,Stilger Cir,Dead End,Local,20,0.056104711
379,FY 17-18,Black Iron Rd,Glenmary Farm Dr,Long Home Rd,Local,22,1.261884794
380,FY 17-18,Blankenbaker Ln,Woodside Dr,Apache Dr,Secondary Collector,"7,16",1.295110782
381,FY 17-18,Bohannon Station Rd,Black Iron Rd,Long Home Rd,Local,22,0.680279032
382,FY 17-18,Bon Air Ave,Brockton,Goldsmith Ln,Local,26,0.647979979
383,FY 17-18,Bowling Blvd,Shelbyville Rd,S Hubbards Ln,Minor Arterial,26,6.102674216
384,FY 17-18,Briarhollow Ct,Brookhollow Dr,Dead End,Local,11,0.067293223
385,FY 17-18,Brookhollow Ct,Brookhollow Dr,Dead End,Local,11,0.212841169
386,FY 17-18,Brookhollow Dr,Six Mile,Ridgehurst,Local,11,1.037953378
387,FY 17-18,Buechel Bank Rd,Shepherdsville Rd,Barley Ave,Minor Arterial,2,3.000172692
388,FY 17-18,Bunsen Pkwy,Hurstbourne Pkwy,Swope Autocenter Dr,Primary Collector,18,0.936982085
389,FY 17-18,Burket Ct,Mary Dell Ln,Dead End,Local,20,0.075254903
390,FY 16-17,Mary St,Swan St,Chester Ave,Minor Arterial,4,1.454175747
391,FY 16-17,McBroom Dr,Mackie Ln,Kim Dr,Local,13,0.446562541
392,FY 16-17,Meadowgate Ct,Meadowgate Ln,Dead End,Local,7,0.075897646
393,FY 16-17,Meihaus Way,Valley Fair Way,Sun Way Dr,Local,14,0.483500598
394,FY 16-17,Mesa Ct,Nez Perce Way,Dead End,Local,13,0.087138413
395,FY 16-17,Micawber Ct,Micawber Way,Dead End,Local,20,0.062476978
396,FY 16-17,Micawber Way,Glendower Dr,Wickfield Dr,Local,20,0.904386581
397,FY 16-17,Miller Park Dr,Terry Rd,Dalton Ridge Pl,Local,12,1.138353757
398,FY 16-17,Mimosa View Ct,Mimosa View Dr,Dead End,Local,20,0.077565866
399,FY 16-17,Mimosa View Dr,Fir View Ct,Dead End (south),Local,20,0.407386801
400,FY 16-17,Moonridge Pl,Littleridge Dr,Dead End,Local,24,0.277651552
401,FY 18-19,Bradford Dr,Bardstown Rd,Klondike Ln,Primary Collector,10,1.265630851
402,FY 18-19,Brendenwood Rd,Silverwood Ln,Northridge Dr,Local,25,0.451780011
