OBJECTID,DBASIN_FEA_KEY,DBASIN_REC_WTRBDY_NAME,DBASIN_NAME,DBASIN_ALT_NAME,DBASIN_AREA_SQFT_NBR,DBASIN_AREA_ACRES_NBR,SHAPE_Length,SHAPE_Area
28,4039639,Puget Sound,PS_DB_178,56th Ave SW SD,26109382.2081,599.3889,38324.2866843769,26109381.7901021
29,4039640,Lake Union/Ship Canal,LU_DB_024,Latona Ave N SD,389665.7512,8.9455,3560.69936241627,389665.75023403
30,4039641,Duwamish Waterway,DW_DB_120,King County Airport,12656578.7824,290.5551,20538.3899796553,12656578.7847941
31,4039642,Duwamish Waterway,DW_DB_089,S Hinds St SD,1647811.3272,37.8285,15023.1807572317,1647811.32563888
32,4039643,Duwamish Waterway,DW_DB_125,KCIA SD#2/PS 78 EOF/Slip 5 SD,10169434.3456,233.4581,21991.3264790037,10169434.3527711
33,4039644,Puget Sound,PS_DB_047,W Marina Pl SD east,227680.0293,5.2268,2218.29460921146,227679.944195269
34,4039646,Lake Washington,LW_DB_061,E Highland Dr SD,5427126.7799,124.5897,10868.208586904,5427126.72423252
35,4039647,Puget Sound,PS_DB_010,Seaview Ave NW SD H,442652.3379,10.1619,3398.46050660486,442652.370176288
36,4039648,Puget Sound,PS_DB_009,Seaview Ave NW SD G,1297833.5114,29.7942,9271.93283112726,1297833.40656299
37,4039649,Puget Sound,PS_DB_183,Lincoln Park Way SW SD,30767200.5977,706.3177,35800.8051782993,30767200.5971286
38,4039650,Lake Washington,LW_DB_064,E Jefferson St SD,8188774.6279,187.9884,16148.1774065325,8188774.6279111
39,4039651,Puget Sound,PS_DB_186,SW Brace Point Dr SD,1998847.0389,45.8872,11711.3102483798,1998846.80586343
40,4039652,Lake Union/Ship Canal,LU_DB_001,Densmore,94859516.4711,2177.6749,127740.448159478,94859516.4711454
41,4039653,Lake Union/Ship Canal,LU_DB_052,Minor Ave N SD,27818300.9961,638.6203,41533.0362481895,27818300.9962675
42,4039654,Lake Washington,LW_DB_103,S Hudson St SD,393396.4627,9.0311,3786.09171859761,393396.459966797
43,4039655,Duwamish Waterway,DW_DB_152,6030,203360.8611,4.6685,2057.25076691578,203360.791786612
44,4039656,Lake Washington,LW_DB_060,E Lynn St SD,3431811.1169,78.7835,10372.6182709807,3431811.36434469
45,4039657,Lake Washington,LW_DB_056,E Calhoun St SD,1757282.9604,40.3417,10602.1444660425,1757283.03121641
46,4039658,Puget Sound,PS_DB_046,W Marina Pl SD west,409396.0281,9.3984,2957.30318315792,409396.120023001
