Day,Month,Year,ST_14316495 (mm),ST_06037000 (mm),ST_14338000 (mm)
5,5,1982,0.0,0.0,0.0
6,5,1982,0.0,0.0093,0.0
7,5,1982,0.0,0.0,0.0
8,5,1982,0.0,0.608450005,0.0
9,5,1982,2.29000001,4.320400012,0.438095241
10,5,1982,1.449199986,4.487300026,0.0
11,5,1982,0.0,1.590600003,0.188095241
12,5,1982,0.0,3.031549984,0.0
13,5,1982,0.0,0.069599999,0.0
14,5,1982,0.0,0.0,0.0
15,5,1982,0.0,0.0,0.0
16,5,1982,0.0,0.0,0.0
17,5,1982,3.083799934,0.0,2.363190481
18,5,1982,2.969400024,0.0,1.508761908
19,5,1982,0.0,0.498199999,0.0
20,5,1982,0.0,0.158549999,0.0
21,5,1982,0.787599993,1.141799986,0.544476187
22,5,1982,0.0,0.0,0.0
23,5,1982,0.0,0.02465,0.0
24,5,1982,0.0,0.0,0.0
25,5,1982,0.0,0.88515,0.0
26,5,1982,0.0,0.0071,0.0
27,5,1982,0.148800001,3.629249966,0.0
28,5,1982,0.0,16.69830012,0.0
29,5,1982,0.0,3.665349984,0.0
30,5,1982,0.0,0.091549998,0.0
31,5,1982,0.0,0.0,0.0
1,6,1982,1.965199995,0.815000004,0.197904764
2,6,1982,0.369400005,5.211150026,0.0
3,6,1982,0.0,2.083749998,0.0
4,6,1982,5.386400032,5.519700003,3.821142827
5,6,1982,10.84019985,4.669500017,6.917523747
6,6,1982,4.111999989,4.324749994,0.639190477
7,6,1982,0.322600002,6.637550008,0.0
8,6,1982,0.0,6.573000121,0.0
9,6,1982,0.0,0.870399999,0.005714286
10,6,1982,0.0,0.0,0.0
11,6,1982,1.291400015,0.225100002,0.0
12,6,1982,8.543400002,0.0,2.548238084
13,6,1982,6.092000103,0.0,1.860904765
14,6,1982,0.0,0.69235,0.0
15,6,1982,0.993400013,0.918999998,0.001809524
16,6,1982,0.0,0.4841,0.309714285
17,6,1982,0.0,1.201449996,1.67757144
18,6,1982,0.0,0.848850004,0.919761893
19,6,1982,1.918400002,0.0,4.398761886
20,6,1982,0.067200001,0.0,2.165142831
21,6,1982,6.101200008,0.0,3.07419044
22,6,1982,0.0,0.0,0.0
23,6,1982,5.654400063,0.789799996,0.624714287
24,6,1982,0.0,2.676299983,0.0
25,6,1982,3.008599949,3.955499995,1.070095244
26,6,1982,0.197199998,3.313150001,0.05552381
27,6,1982,18.31720009,0.0,10.87923813
28,6,1982,0.755600011,0.168050002,1.418142865
29,6,1982,14.20739994,0.0,7.285761879
30,6,1982,2.474600029,0.0,1.086238089
1,7,1982,1.307599998,0.660249998,1.312904766
2,7,1982,1.620200014,7.356649995,1.581761911
3,7,1982,11.95459995,0.0,3.944381019
4,7,1982,0.032800001,1.680450001,0.0
5,7,1982,4.001400042,5.978850031,1.187380937
6,7,1982,0.0,2.640649992,0.003142857
7,7,1982,0.0,1.396750003,0.0
8,7,1982,1.196800005,4.870899975,0.021619047
9,7,1982,0.0004,6.541600013,0.0
10,7,1982,0.0,6.488349962,0.024904762
11,7,1982,0.0,0.699049999,0.426428567
12,7,1982,0.0,1.063150005,0.013047619
13,7,1982,0.0,0.308000002,0.0
14,7,1982,1.036999989,0.0,0.0
15,7,1982,0.0,1.42105,0.148666664
16,7,1982,0.0,0.0,0.0
17,7,1982,0.0,0.232199998,0.0
18,7,1982,0.0,0.0,0.0
19,7,1982,0.0,0.0,0.0
20,7,1982,0.0,0.21765,0.0
21,7,1982,0.0,0.0,0.0
22,7,1982,0.0,0.0,0.0
23,7,1982,0.0,0.591049995,0.0
24,7,1982,0.0,5.969999981,0.0
25,7,1982,0.0,9.080650091,0.0
26,7,1982,0.0,0.562499999,0.0
27,7,1982,0.0,0.0,0.0
28,7,1982,0.0,0.0,0.0
29,7,1982,0.0,1.273000002,0.0
30,7,1982,0.0,0.0,0.0
31,7,1982,0.0,0.0,0.0
1,8,1982,0.0,0.0,0.0
2,8,1982,0.0,0.329349999,0.0
3,8,1982,0.485799995,0.547199995,0.0
4,8,1982,0.0,0.374200001,0.0
5,8,1982,0.0,0.0,0.0
