OBJECTID,AV_LEGEND,CLASS,AREANAME,SHAPE_Length,SHAPE_Area
103,R-R,Restricted-Relay, ,455.087063129467,6340.16726626663
104,P,Prohibited, ,197.464345509228,2091.00246228542
105,R-R,Restricted-Relay, ,571.190340804501,14399.2488947892
106,CA,Conditionally Approved,L-504,11485.2137379968,7390668.645514
107,CA,Conditionally Approved,L-363,8921.17528164137,3827658.35522028
108,P,Prohibited, ,737.285683325791,31485.1889681804
109,R-R,Restricted-Relay, ,169.907353330594,1729.37546466438
110,P,Prohibited, ,10121.8549446773,309664.753234354
111,P,Prohibited, ,190.733213076772,2391.52106878847
112,P,Prohibited, ,157.599732130489,1707.44641801939
113,P,Prohibited, ,206.767965783636,2729.48625280752
114,R-R,Restricted-Relay, ,378.4043545919,10580.5092180045
115,R-R,Restricted-Relay, ,173.467136868551,2007.18728370557
116,P,Prohibited, ,222.327927948283,3326.30649484508
117,R-R,Restricted-Relay, ,281.304404302403,4087.64991579904
118,CA,Conditionally Approved,L-505,13015.3245541866,9139478.67840096
119,P,Prohibited, ,170.782852268019,1857.49207832828
120,P,Prohibited, ,1576.22328024227,132290.261654586
121,P,Prohibited, ,677.933879238552,31277.3206651868
122,P,Prohibited, ,704.369735335596,29256.6183026912
123,P,Prohibited, ,39551.7464511699,1807894.40363618
124,P,Prohibited, ,3430.88786574181,374386.977800243
125,R-R,Restricted-Relay, ,308.500834818693,6364.5363954601
126,P,Prohibited, ,306.041552764422,6567.81784780067
127,P,Prohibited, ,798.838734621158,15796.345381157
128,R-R,Restricted-Relay, ,287.272239218935,5873.17770520555
129,P,Prohibited, ,317.17030431509,4187.2795515772
130,R-R,Restricted-Relay, ,174.402985742058,2165.73799528081
131,R-R,Restricted-Relay, ,164.474620102046,1765.77325402714
132,R-R,Restricted-Relay, ,174.589986459137,2094.0169068273
133,P,Prohibited, ,500.457479787195,16692.8951498192
134,R-R,Restricted-Relay, ,179.746334975782,2168.97081851211
135,R-R,Restricted-Relay, ,141.036515718433,1402.34915202399
136,R-R,Restricted-Relay, ,416.67150858144,8720.30433673408
137,P,Prohibited, ,891.761154141353,41813.1706893177
138,CR-R,Conditionally Restricted-Relay, ,3132.47863280372,528919.572433689
139,R-R,Restricted-Relay, ,270.690054896665,4451.04805828916
140,P,Prohibited, ,6983.89064398682,231917.957536986
141,R-R,Restricted-Relay, ,124.035296593913,993.240736754111
142,P,Prohibited, ,3982.70514543447,184844.072600186
143,P,Prohibited, ,314.858489104895,6287.278050903
144,P,Prohibited, ,7058.09598067069,205254.391344945
145,P,Prohibited, ,1028.7657474585,47566.7722282568
146,P,Prohibited, ,403.710684327178,8037.35282633586
147,P,Prohibited, ,564.07253311166,14983.476092557
148,P,Prohibited, ,716.518708842872,13079.6938365204
149,R-R,Restricted-Relay, ,15568.6250716787,1636383.49145419
150,P,Prohibited, ,21621.6158100386,539174.66422595
151,P,Prohibited, ,531.110943889891,12770.1655962734
152,P,Prohibited, ,45813.4296607663,1846581.27458541
153,P,Prohibited, ,2271.79028266071,51128.7527996651
154,R-R,Restricted-Relay, ,212.06110964673,2907.46546564024
155,P,Prohibited, ,193.783660018866,1962.64266294363
156,P,Prohibited, ,3285.80199659921,82299.1163534957
157,CR-R,Conditionally Restricted-Relay, ,1793.2028897173,144700.197116622
158,CR-R,Conditionally Restricted-Relay, ,1065.53434210485,61316.867634238
159,P,Prohibited, ,402.277905575817,7888.05916284543
160,P,Prohibited, ,341.378163782702,8206.20807092167
161,P,Prohibited, ,9584.49041099747,221709.458921474
162,P,Prohibited, ,230.705833034065,2956.54927374746
163,P,Prohibited, ,298.418992483966,5355.60534095228
164,P,Prohibited, ,1180.6794947936,41544.3814208627
165,P,Prohibited, ,234.418066002892,3843.1387909636
166,R-R,Restricted-Relay, ,700.905974170501,29451.2593576101
167,CA,Conditionally Approved, ,5495.74933950707,1854137.61839815
168,P,Prohibited, ,24680.0472182694,4878220.81909106
169,R-R,Restricted-Relay, ,1371.55285900625,77386.8664218263
170,R-R,Restricted-Relay, ,1233.2423805505,92737.5552388229
171,CA,Conditionally Approved, ,4925.00982900354,717282.859710836
172,R-R,Restricted-Relay, ,398.563959953429,8077.59061892864
173,R-R,Restricted-Relay, ,436.303637075612,7415.53919416064
174,CA,Conditionally Approved, ,92461.8039502939,242205019.483325
175,P,Prohibited, ,1551.58869387371,31283.0943238716
176,R-R,Restricted-Relay, ,36713.5678601019,11162532.0304291
177,P,Prohibited, ,475.194258077234,14265.7152163715
178,P,Prohibited, ,2869.51251663664,353393.105933995
179,P,Prohibited, ,2965.01375775352,311235.301510677
180,R-R,Restricted-Relay, ,145716.925013709,66113440.0582535
181,R-R,Restricted-Relay, ,37527.7111810859,11988266.7330743
182,A,Approved, ,103875.562564008,202864000.929243
183,CR-R,Conditionally Restricted-Relay, ,1295.59480902746,61522.3477007757
184,CR-R,Conditionally Restricted-Relay, ,21204.8525791161,8569809.36688136
185,CR-R/DP,Conditionally Restricted-Relay/Depuration, ,19745.191800076,7915766.4380895
186,R-R,Restricted-Relay,L-6 South,3970.79798199117,414765.491083459
187,P,Prohibited, ,978.87465917635,49283.5098157865
188,P,Prohibited, ,2297.20171470401,147508.649791701
189,R-R,Restricted-Relay, ,13408.5604264774,2972891.18352118
190,CA,Conditionally Approved,Area 'G',15305.8032858814,11720531.1630055
191,R-R,Restricted-Relay, ,432817.322302591,1339731774.49822
192,P,Prohibited, ,1646.28464391009,127026.024582251
193,R-R,Restricted-Relay, ,21922.0771507398,926469.30524195
194,CR-R,Conditionally Restricted-Relay, ,4649.10501691839,379469.847744512
195,R-R,Restricted-Relay, ,10552.3218642068,4898063.19369811
196,CA,Conditionally Approved, ,12063.0258786692,4046936.35321588
197,P,Prohibited, ,1654.84035397372,130493.758625673
198,R-R,Restricted-Relay, ,5920.67287368364,1248669.22278177
199,R-R,Restricted-Relay, ,8351.17947995535,796552.034373204
200,P,Prohibited, ,7825.35053948506,1451158.53344058
201,P,Prohibited, ,5022.88268945693,434280.666427128
202,P,Prohibited, ,199194.052219723,39982030.1584858
203,P,Prohibited, ,675.794335371057,17940.9746599049
204,P,Prohibited, ,45515.7074694547,118885218.597953
205,P,Prohibited, ,995.429173543677,24558.1684043128
206,P,Prohibited, ,367.48401478435,8930.39821066719
207,P,Prohibited, ,723.702622935029,33734.7160088394
208,P,Prohibited, ,1467.34603481653,46460.1041591678
209,CR-R,Conditionally Restricted-Relay, ,1038.26358072696,33919.6251908902
210,CA,Conditionally Approved,TI,9839.88249780964,2192938.73056624
211,P,Prohibited, ,11493.4062974606,442829.654744817
212,P,Prohibited, ,54842.0084654251,7537531.56443275
213,P,Prohibited, ,8021.01866643419,132671.745549222
214,R-R,Restricted-Relay, ,28612.194682089,16885856.8216775
215,CA,Conditionally Approved, ,17634.3456722102,15616046.7436031
216,P,Prohibited, ,217.914683218702,2288.42076433166
217,P,Prohibited, ,211.919145253364,2426.93098070639
218,P,Prohibited, ,137.290492188246,1124.94800998228
219,P,Prohibited, ,158.11501366464,1772.29982870215
220,P,Prohibited, ,182.041792960674,2199.02552957513
221,P,Prohibited, ,195.422746162003,2196.82507395159
222,P,Prohibited, ,199.992264207713,1761.7808925017
223,P,Prohibited, ,843.404815627002,12535.9323179919
224,P,Prohibited, ,204.265010950837,2128.96578113165
225,P,Prohibited, ,936.516219818499,21781.1917932112
226,P,Prohibited, ,3399.23627684903,212947.553717638
227,P,Prohibited, ,4359.17500050325,298159.875936255
228,R-R,Restricted-Relay, ,18506.068054738,2125698.92838751
229,P,Prohibited, ,12893.0837863096,944815.350416805
230,P,Prohibited, ,3755.18053662188,80627.4301508494
231,R-R,Restricted-Relay, ,20866.7710899023,3393565.86599253
232,R-R,Restricted-Relay, ,1992.96769727884,77654.3289927166
233,P,Prohibited, ,9970.75772943274,1958805.35468403
234,R-R,Restricted-Relay, ,864.765701133314,14721.9657037363
235,R-R,Restricted-Relay, ,137.850153915942,1136.88884582184
236,P,Prohibited, ,34277.665909615,7668646.75754684
237,R-R,Restricted-Relay, ,490.852766225146,7049.2754848536
238,R-R,Restricted-Relay, ,33628.307459783,21278762.070904
239,P,Prohibited, ,19182.5198077924,1738995.85442856
240,P,Prohibited, ,7411.6920058346,1381772.05981651
241,P,Prohibited, ,4099.22684529871,460927.56761467
242,P,Prohibited, ,21281.1451083657,2302338.93033046
243,P,Prohibited, ,2993.62633740386,259985.100802069
244,P,Prohibited, ,2528.36752910129,316928.801560909
245,P,Prohibited, ,10720.793688922,1462882.60738298
246,P,Prohibited, ,35209.7417540542,8851978.26124548
247,P,Prohibited, ,24288.6777244147,4578485.77852484
248,P,Prohibited, ,8113.12770861237,1782410.12804953
249,P,Prohibited, ,10192.0162579867,1161289.90006468
250,R-R,Restricted-Relay, ,5183.64096843532,1242322.28540221
251,P,Prohibited, ,13933.043934325,345478.691681551
252,P,Prohibited, ,85621.5147801701,21869091.1354051
253,P,Prohibited, ,1762.44634188326,121716.8593644
254,P,Prohibited, ,15628.8830375798,966024.344707736
255,R-R,Restricted-Relay, ,38115.3171559159,29383528.711632
256,CA,Conditionally Approved,Area 'A',12974.8420149944,6324610.62615763
257,P,Prohibited, ,27960.8955160695,4207138.30390187
258,P,Prohibited, ,39570.9103130578,11981927.0991545
259,P,Prohibited, ,48199.7062139368,8759333.51567801
260,R-R,Restricted-Relay, ,10801.55629732,5732841.12402156
261,P,Prohibited, ,6428.70983790621,774865.181639328
262,P,Prohibited, ,18743.299309504,3667627.14583844
