OBJECTID,BOUNDARY,DATA_SRC,SHAPE_Length
554,County,NJ,155322.941433699
555,County,NJ,100377.078997455
556,County,NJ,38928.6108500472
557,County,NJ,39058.1145312893
558,County,NJ,39520.8127570821
559,County,NJ,43562.7128188954
560,County,NJ,23475.4089981108
561,County,NY,44975.143456329
562,County,NJ,27817.9156865409
563,County,NJ,44873.4141577124
564,County,NJ,51220.8712932402
565,County,NJ,46958.3042397385
566,County,NJ,27530.4208901392
567,County,NY,73841.1308859394
568,County,NJ,21200.3433890151
569,County,NJ,26800.1981565409
570,County,NY,70166.1534547581
571,County,NJ,23664.2104175847
572,County,NJ,40131.4259264444
573,County,NJ,35082.0488579855
574,County,NJ,57883.9024618341
575,County,NJ,53730.6388931108
576,County,NJ,36196.4785777691
577,County,NJ,70353.7186574404
578,County,NJ,54641.9613835893
579,County,NJ,27482.9006377249
580,County,NJ,9488.2978431069
581,County,NJ,38768.5432382872
582,County,NJ,35445.0542645226
583,County,NJ,29700.2448243546
584,County,NJ,27195.6141973651
585,County,NY,62888.8000654395
586,County,NJ,450.587002507953
587,County,NJ,113628.758150433
588,County,NY,4155.10431908247
589,County,NJ,33006.3349635233
590,County,NJ,67506.6831385907
591,County,NY,9196.91400845811
592,County,NJ,25615.639306816
593,County,NY,2043.26876529168
594,County,NJ,34911.4601811492
595,County,NJ,10746.278268106
596,County,NJ,73397.4451206717
597,County,NJ,113499.8959679
598,County,NJ,83502.8191309635
599,County,NJ,53123.0410837741
600,County,NJ,11918.5774989763
601,County,NJ,25332.6374314094
602,County,NJ,8651.49234333113
603,County,NJ,21690.5921843652
604,County,NJ,22810.689956369
605,County,NJ,72355.9306922752
606,County,NJ,96108.3560775102
607,County,NJ,36326.9585811302
608,County,NJ,21201.1394506666
609,County,NJ,22036.3193293511
610,County,NJ,23960.8408391835
611,County,NJ,19054.2615477975
612,County,NJ,27723.4809616609
613,County,NJ,374.95502846197
614,County,NJ,19125.2214789526
615,County,NJ,23635.641470722
616,County,NJ,204665.662173632
617,County,NJ,29476.3509725767
618,County,NJ,32767.2197786663
619,County,NJ,77756.833481629
620,County,NJ,30598.7278769364
621,County,NJ,20443.048025306
622,County,NJ,38448.2635034472
623,County,NJ,57063.1169790165
624,County,NJ,33612.1432264116
625,County,NJ,19145.264469589
626,County,NJ,47776.2870480203
627,County,NJ,18085.1845631814
628,County,NJ,19569.0372092992
629,County,NJ,59493.6199756305
630,County,NJ,29334.8462577744
631,County,NJ,68208.5841294408
632,County,NJ,32320.9935000588
633,County,NJ,21195.1537256801
634,County,NJ,25360.8541714486
635,County,NJ,45715.0030627976
636,County,NJ,106998.551386362
637,County,NJ,29208.6335601768
638,County,NJ,24014.149834518
639,County,NJ,66847.6104806987
640,County,NJ,21317.5004226115
641,County,NJ,21392.6693111925
642,County,NJ,12752.2761336959
643,County,NJ,25953.6707054044
644,County,NJ,8540.43946663931
645,County,NJ,14718.1913453258
646,County,NJ,3659.7006163505
647,County,NJ,57968.9451483186
648,County,NJ,25195.5420507018
649,County,NJ,12828.0629680739
650,County,NJ,18241.9532488164
651,State,ME,33485.4190699795
652,Shoreline,ME,332.54167347616
653,Shoreline,ME,348.059863768814
654,Shoreline,ME,532.038939884357
655,Shoreline,ME,278.537648705557
656,Shoreline,ME,145.622036641956
657,Shoreline,ME,147.600601181485
658,Shoreline,ME,8416.38407316134
659,Shoreline,ME,1356.52133327315
660,Shoreline,ME,3290.12454676323
661,Shoreline,ME,4132.84930051454
662,Shoreline,ME,1017.75713438822
663,Shoreline,ME,233.744414238875
664,Shoreline,ME,290.78170875059
665,Shoreline,ME,506.020010199123
666,Shoreline,ME,3363.41822312888
667,Shoreline,ME,103.62975775706
668,Shoreline,ME,241.276753115864
669,Shoreline,ME,97.9620481802845
670,Shoreline,ME,5551.01342446499
671,Shoreline,ME,176.348213619658
672,Shoreline,ME,374.428368960876
673,Shoreline,ME,505.651701117579
674,Shoreline,ME,2898.17958638237
675,Shoreline,ME,198.161330411503
676,Shoreline,ME,280.279182878459
677,Shoreline,ME,346.9470668639
678,Shoreline,ME,209.911870259262
679,Shoreline,ME,379.120891812866
680,Shoreline,ME,389.040537569554
681,Shoreline,ME,32325.51221034
682,Shoreline,ME,221.948935070667
683,Shoreline,ME,286.726865502125
684,Shoreline,ME,181.37714092956
685,Shoreline,ME,4279.58278780503
686,Shoreline,ME,27405.5966206537
687,Shoreline,ME,14106.9713828412
688,Shoreline,ME,317.915924465214
689,Shoreline,ME,1853.37551837047
690,Shoreline,ME,300.973191970105
691,Shoreline,ME,943.241843824393
692,Shoreline,ME,21265.0557114447
693,Shoreline,ME,14633.5630319378
694,Shoreline,ME,362.930537184265
695,Shoreline,ME,1463.68715601772
696,Shoreline,ME,108.839472375826
697,Shoreline,ME,114.436588287477
698,Shoreline,ME,115.623368667998
699,Shoreline,ME,130.143693559649
700,Shoreline,ME,108.157734543112
701,Shoreline,ME,137.859355178027
702,Shoreline,ME,423.012266681195
703,Shoreline,ME,519.361431833891
704,Shoreline,ME,136.419016696378
705,Shoreline,ME,314.495362374603
706,Shoreline,ME,1001.00234015111
707,Shoreline,ME,1692.98560914757
708,Shoreline,ME,208.819027991079
709,Shoreline,ME,1630.86622304609
710,Shoreline,ME,7863.81031022959
711,Shoreline,ME,393.021289884757
712,Shoreline,ME,39776.6523418769
713,Shoreline,ME,1325.57758751768
714,Shoreline,ME,885.194628529671
715,Shoreline,ME,280.78930912017
716,Shoreline,ME,239.412565229994
717,Shoreline,ME,259.32477949745
718,Shoreline,ME,370.38602748398
719,Shoreline,ME,445.88944341553
720,Shoreline,ME,192.190007649806
721,Shoreline,ME,207.204415405849
722,Shoreline,ME,177.403107318294
723,Shoreline,ME,328.601729229366
724,Shoreline,ME,115.120404378105
725,Shoreline,ME,101.318173057535
726,Shoreline,ME,77.3695626406659
727,Shoreline,ME,718.589927238917
728,Shoreline,ME,799.70006376565
729,Shoreline,ME,1319.81976506422
730,Shoreline,ME,202.443825796823
731,Shoreline,ME,369.71206669074
732,Shoreline,ME,108.358313829668
733,Shoreline,ME,391.017971019623
734,Shoreline,ME,3204.55060017058
735,Shoreline,ME,124.791326900143
736,Shoreline,ME,159.059914599836
737,Shoreline,ME,214.720428985335
738,Shoreline,ME,111.543796192639
739,Shoreline,ME,162.323527097103
740,Shoreline,ME,724.735527277592
741,Shoreline,ME,112.562067422749
742,Shoreline,ME,464.01381844305
743,Shoreline,ME,113.152960580548
744,Shoreline,ME,357.927066683868
745,Shoreline,ME,800.015753836185
746,Shoreline,ME,5268.78727480992
747,Shoreline,ME,3851.57031819871
748,Shoreline,ME,904.537117203221
749,Shoreline,ME,149.845072610034
750,Shoreline,ME,174.258235948532
751,Shoreline,ME,481.333554948884
752,Shoreline,ME,162.8721242334
753,Shoreline,ME,239.06422867307
754,Shoreline,ME,173.49849563445
755,Shoreline,ME,341.944595318567
756,Shoreline,ME,258.964162387218
757,Shoreline,ME,628.313785194982
758,Shoreline,ME,1631.85086494221
759,Shoreline,ME,157.778362883779
760,Shoreline,ME,385.771536353494
761,Shoreline,ME,1305.96271379713
762,Shoreline,ME,113.718971759555
763,Shoreline,ME,103.832713246895
764,Shoreline,ME,139.865385294633
765,Shoreline,ME,717.05358138901
766,Shoreline,ME,478.545470997014
767,Shoreline,ME,83.1070911693981
768,Shoreline,ME,1074.75162326668
769,Shoreline,ME,151.709646154935
770,Shoreline,ME,31554.1539116603
771,Shoreline,ME,199.142882377704
