ID,Zip_Code,Tenant_Age,Tenant_Gender,Tenant_Race,Hispanic_Y_N,Month_s__Covered,Verified_Monthly_Income,F__in_house__hold,Amount_Paid,Date_Paid,Council_District,ObjectId
580,40214.0,46,Male,Others,Non-Hispanic,Deposit + 2 Months Rent,32000,1.0,2550.0,5/12/2022,12.0,31
164,40212.0,61,Female,African American,Non-Hispanic,dec deposit,0,1.0,525.0,12/16/2021,5.0,32
165,40216.0,53,Male,African American,Non-Hispanic,dec deposit,0,1.0,699.0,12/15/2021,1.0,33
392,40212.0,67,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,7884,1.0,1950.0,5/12/2022,5.0,34
444,40212.0,54,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,10764,2.0,3000.0,5/12/2022,5.0,35
490,40211.0,36,Female,African American,Non-Hispanic,deposit,17000,5.0,1229.0,12/15/2021,1.0,36
163,40203.0,62,Male,African American,Non-Hispanic,Dec deposit and rent,0,2.0,617.47,12/15/2021,4.0,37
599,40272.0,27,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,36000,2.0,2676.0,5/12/2022,25.0,38
454,40211.0,31,Female,White,Non-Hispanic,Deposit + 2 Months Rent,12000,1.0,2250.0,5/12/2022,5.0,39
160,40203.0,64,Female,African American,Non-Hispanic,Dec deposit and rent,0,1.0,164.6,12/15/2021,4.0,40
162,40203.0,29,Female,African American,Non-Hispanic,Dec deposit and rent,0,3.0,100.0,12/15/2021,4.0,41
430,40210.0,55,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,10092,2.0,1198.0,5/12/2022,6.0,42
591,40214.0,58,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,34000,1.0,2385.0,5/12/2022,5.0,43
219,40214.0,31,Female,African American,Non-Hispanic,dep,166,1.0,300.0,12/15/2021,21.0,44
593,40212.0,43,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,35000,2.0,2580.0,5/12/2022,5.0,45
512,40211.0,29,Female,African American,Non-Hispanic,deposit,20000,3.0,300.0,12/15/2021,1.0,46
542,40216.0,55,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,25200,2.0,2700.0,5/12/2022,3.0,47
157,40216.0,42,Male,African American,Non-Hispanic,Deposit and Dec rent,0,1.0,699.0,12/13/2021,1.0,48
505,40210.0,47,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,19200,1.0,2100.0,5/12/2022,4.0,49
158,40214.0,29,Female,White,Non-Hispanic,deposit,0,4.0,1150.0,12/13/2021,25.0,50
524,40203.0,33,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,22440,6.0,1966.0,5/12/2022,5.0,51
156,40214.0,42,Female,White,Non-Hispanic,Dep/Nov/Dec,0,3.0,775.0,12/13/2021,25.0,52
507,40210.0,57,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,19200,1.0,2550.0,5/12/2022,6.0,53
45,40211.0,32,Female,African American,Non-Hispanic,Dec deposit and pro-rated rent,,4.0,540.0,12/13/2021,1.0,54
