X,Y,OBJECTID,COMPKEY,UNITID,UNITDESC,CONDITION,CONDITION_ASSESSMENT_DATE,OWNERSHIP,CURRENT_STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,COMPTYPE,SEGKEY,DISTANCE,WIDTH,UNITTYPE,CURRENT_STATUS_DATE,CATEGORY,INSTALL_DATE,INSTALLER,ELECTR_WIRE_LOC,CONTROL_PROTOCOL_TYPE,METERED,LAST_PM_DATE,SOLAR_INSTALL_DATE,HANSEN7ID,DISPHOUSINGCOND,MOUNT_TYPE,CROSSWALK_TUB,FLASHING,ATTACHMENT_CONDITION,POLE_CONDITION,SUPPORT_INSTALL_DATE,SPAN_CONDITION,CONTROL_CONDITION,CONTROL_TYPE,MODEM_TYPE,MODEL_TYPE,SIDE,SCHOOL_SPEED_CAMERA,OVERRIDECOMMENT,SHAPE_LNG,SHAPE_LAT
1284385.22740531,194192.477226064,3491,567522,BCN-66,S HENDERSON ST 0450 BLOCK S SIDE ( 478) 10 FT W/O 46TH AVE S (BCN-SCHL)                                                                                                                                                                                        , ,,SDOT,INSVC,DISTRICT2, ,N,16,20241,501.0,-29.0,BCN,,BCN-SCHL,2014/07/07 00:00:00+00,SDOT, , ,N,,2014/07/07 00:00:00+00,,GOOD,TM-SHLDR,N,Y,GOOD, ,, ,GOOD,WEB, ,BCN-TC3,S,N,,-122.274376138085,47.523230543242
1255013.55813038,213211.821405143,3492,580109,BCN-318,49TH AVE SW 0340 BLOCK W SIDE (  10) 10 FT S/O SW HINDS ST (BCN-SCHL)                                                                                                                                                                                          , ,, ,OUTSVC,DISTRICT1, ,N,16,7202,40.0,-15.0,BCN,2023/08/11 00:00:00+00,BCN-SCHL,, , , ,N,,,, , ,N,N, , ,, , , , ,BCN-TC3,W,N,,-122.394788813236,47.5737913064854
1262978.17146622,202615.359986559,3493,605868,BCN-346,DELRIDGE WAY SW 0630 BLOCK E SIDE (394.) 394.7 FT S/O 23RD S AVE SW (BCN-SCHL)                                                                                                                                                                                 ,GOOD,2014/01/31 00:00:00+00,SDOT,INSVC,DISTRICT1, ,N,16,9972,417.7,31.0,BCN,2023/08/14 00:00:00+00,BCN-SCHL,2013/10/10 00:00:00+00,SDOT, , ,N,,2013/10/10 00:00:00+00,, , ,N,N, ,GOOD,2013/10/10 00:00:00+00, ,GOOD, , ,BCN-TC3,E,Y,,-122.361676372157,47.545185354332
1264418.78374247,266232.655651972,3494,573155,BCN-191,3RD AVE NW 1250 BLOCK C SIDE (   0) 0 FT N/O NW 125TH ST (BCN-REG)                                                                                                                                                                                             ,FAIR,,SDOT,INSVC,DISTRICT5, ,N,16,4503,0.0,,BCN,,BCN-REG,,SDOT,AERIAL, ,N,,,,GOOD,TM-OVRHEAD,N,Y,GOOD,FAIR,,GOOD, , , , ,C,N,,-122.360957355803,47.7196353844794
1268721.36896931,225187.020879894,3495,731493,BCN-524,WESTERN AVE 0140 BLOCK C SIDE (   0) 0 FT NW/O UNION ST (BCN-XWK)                                                                                                                                                                                              , ,, , ,DISTRICT7, ,N,16,13503,0.0,,BCN,,BCN-XWK,2019/03/01 00:00:00+00, , , ,N,,,, , ,N,N, , ,, , , , ,BCN-RRFB,C,N,,-122.340216144982,47.607363805973
1279119.11556222,218460.434595555,3496,567582,BCN-70,M L KING JR WAY S 0140 BLOCK E SIDE ( 271) 271 FT S/O MOUNTAINS TO SOUND TRL (BCN-SCHL)                                                                                                                                                                        ,GOOD,2014/07/10 00:00:00+00,SDOT,INSVC,DISTRICT3, ,N,16,163714,284.0,26.0,BCN,2014/07/10 00:00:00+00,BCN-SCHL,2014/07/10 00:00:00+00,SDOT, , ,N,2014/07/10 00:00:00+00,2014/07/10 00:00:00+00,, ,TM-SHLDR,N,Y, , ,, , ,WEB, ,BCN-TC3,E,Y,,-122.297554367264,47.5894765954603
1264569.83134064,200705.166956559,3497,567202,BCN-38,16TH AVE SW 0670 BLOCK W SIDE (1018) 320 FT N/O SW MYRTLE ST (BCN-SCHL)                                                                                                                                                                                        ,GOOD,2014/07/21 00:00:00+00, ,INSVC,DISTRICT1, ,N,16,2334,1031.0,-26.0,BCN,2014/07/21 00:00:00+00,BCN-SCHL,2014/07/21 00:00:00+00,SDOT,AERIAL, ,N,,,,GOOD,TM-SHLDR,N,Y,GOOD, ,2003/09/05 00:00:00+00, ,GOOD,WEB, ,GLANCE,W,N,,-122.355080096183,47.5400360702059
,,3498,573812,BCN-286,WEST MARGINAL WAY SW 0352 BLOCK C SIDE (1092) 215 FT NW/O MARGINAL PL SW (BCN-WARNG)                                                                                                                                                                           , ,, ,INSVC,DISTRICT1, ,N,16,23529,1092.0,,BCN,2023/08/10 00:00:00+00,BCN-WARNG,, , , ,N,,,, ,TM-OVRHEAD,N,Y, , ,, , , , , ,C,N,,-127.390658288157,46.8083000791101
1278397.12094322,236650.300446719,3499,606126,BCN-355,24TH AVE E 0220 BLOCK E SIDE ( 190) 70 FT S/O E LYNN ST (BCN-SCHL)                                                                                                                                                                                             ,GOOD,2014/01/31 00:00:00+00,SDOT,INSVC,DISTRICT3, ,N,16,3552,213.0,-27.0,BCN,2023/08/14 00:00:00+00,BCN-SCHL,, , , ,N,,,, , ,N,N, , ,, ,GOOD, , ,BCN-TC3,E,Y,,-122.301886238123,47.6392971521592
1264930.13409773,254317.173577473,3500,659952,BCN-431,N 80TH ST 0010 BLOCK N SIDE (   0) 0 FT E/O 1ST AVE NW (BCN-XWK)                                                                                                                                                                                               , ,, , ,DISTRICT6, ,N,16,15890,13.0,23.0,BCN,,BCN-XWK,, , , ,N,,,, , ,N,N, , ,, , , , ,BCN-RRFB,N,N,,-122.357921416796,47.6870035432305
