OBJECTID,NLCS_ID,NLCS_NAME,CASEFILE_NO,ADMIN_ST,WC_TYPE,GlobalID,Shape_Length,Shape_Area
157,,Hummingbird Springs,UNK,AZ,Wilderness Characteristic Protection Area,{0DDE3D0B-7574-452F-9B10-BD2571B1A7EB},42694.6840919015,49526737.8589516
158,,Mojave Wash North,UNK,AZ,Other Lands with Wilderness Characteristics,{B2A6EFB8-A251-49AC-A6A0-47084C15D339},39555.0032482742,36717357.427756
160,,Sentinel Plain,UNK,AZ,Other Lands with Wilderness Characteristics,{D173BDD8-BB7B-45A4-AAD3-C326431CA0BC},67686.1340301057,103944347.699356
161,,Andrus Canyon,UNK,AZ,Other Lands with Wilderness Characteristics,{B1771D5B-B0AC-4E21-B4FD-D496998D5881},61957.6743626258,6970568.3201673
162,,Palomas Mountains,UNK,AZ,Wilderness Characteristic Protection Area,{E69171E1-DDBF-41F1-8251-06B1AD0198C0},29087.5710388495,49961519.2888062
163,,Cereus,UNK,AZ,Other Lands with Wilderness Characteristics,{D484FBFF-F7F7-47F0-8E76-4194126B13F0},7233.50555722597,2241501.257899
164,,Red Horn,UNK,AZ,Other Lands with Wilderness Characteristics,{1B4D4677-4499-4EEB-B0C5-60E9CE0A2105},48424.687751515,48927588.2645458
165,,Death Valley Spring,UNK,AZ,Other Lands with Wilderness Characteristics,{455A6AA8-8422-4853-8933-3CC24AF55C67},23702.7950869296,4896949.27853726
167,,White Knolls_Paria Plateau Rim_One Toe Ridge,UNK,AZ,Wilderness Characteristic Protection Area,{F3BE74E4-D24C-44F6-B341-3C5D7CFE01CC},22795.9425141018,9925143.87015382
168,,Perry Mesa,UNK,AZ,Wilderness Characteristic Protection Area,{7EBDD345-46CE-4645-AB3B-47CD22B8865D},92182.3054467617,84596848.7631051
169,,White Knolls,UNK,AZ,Other Lands with Wilderness Characteristics,{8D2C9328-F5E5-472A-8F8D-BEE5F1EC3FF5},38971.6257773232,44388813.5924026
170,,Cedar Mountain,UNK,AZ,Other Lands with Wilderness Characteristics,{49C8BA63-185B-4226-A2B8-781AB6C1D6FA},21800.168426703,15672482.0342371
171,,Castaneda Wash,UNK,AZ,Other Lands with Wilderness Characteristics,{B22F790C-587E-4D02-B5D8-7814F63EA3DA},38719.1416204776,60735463.4965706
172,,Snap Canyon 1,UNK,AZ,Other Lands with Wilderness Characteristics,{5A7E9912-F3AA-4918-A073-AD8DB8A7B3A9},28692.3869706727,1808114.9077071
173,,East Clanton Hills,UNK,AZ,Other Lands with Wilderness Characteristics,{FC381D56-87E5-4635-9083-855B67868C34},44198.0000277392,51300929.9859873
175,,Tonopah Desert,UNK,AZ,Wilderness Characteristic Protection Area,{46C1BD09-9BB1-4134-ADE8-6A1766CC19B2},21868.5995661025,20891576.4292974
176,,Big Horn,UNK,AZ,Wilderness Characteristic Protection Area,{1E297658-BB77-4D6B-8E7B-1B43088E7F86},3190.43966934254,636120.666909705
177,,White Knolls_Paria Plateau Rim_One Toe Ridge,UNK,AZ,Wilderness Characteristic Protection Area,{A23B4D43-7CE8-48AE-AC5A-D77DB66641B1},12494.5821908238,6302761.66029387
178,,Mohave Wash,UNK,AZ,Wilderness Characteristic Protection Area,{99D378B3-EA91-4953-B2F0-36DE3AF36AA1},30012.1818349759,41740194.6879887
179,,White Pocket,UNK,AZ,Other Lands with Wilderness Characteristics,{EA99146F-04C1-4843-953D-FE3E3B506ABC},31852.190869864,11867994.8719011
180,,Sauceda Mountains,UNK,AZ,Wilderness Characteristic Protection Area,{8E12C838-4D96-44A0-A7B0-DD5F038C5BD2},40246.7562325956,41117565.0727584
181,,West Silverbell Mountains,UNK,AZ,Wilderness Characteristic Protection Area,{A8B039CF-0A86-4FA7-9A1A-9A5A5F9FD8F3},44322.7855459729,31900171.9558309
182,,LIttle Horn Mountains,UNK,AZ,Wilderness Characteristic Protection Area,{58DDC6D2-6086-42D5-9921-E370A1269FF7},79301.7466456669,144635162.940413
183,,Mustang Point,UNK,AZ,Other Lands with Wilderness Characteristics,{322B95F9-AFF1-4132-8F4B-12825C19E7D2},154241.659736801,111412147.701676
