OBJECTID,ParcelId,CreateUser,CreateDate,EditUser,EditDate,UsageClass,PlanYear,Shape__Area,Shape__Length
3474,RES_1825,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,119046.874328613,2245.62758060466
3475,RES_2077,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,32998.3991699219,965.073642374745
3476,RES_2239,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,321321.753295898,3505.96479195778
3477,RES_897,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,30877.6884765625,735.806520127213
3478,RES_1001,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,91173.356262207,1864.5148715964
3479,RES_1731,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,85064.1173706055,1379.76160644433
3480,RES_925,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,94819.1581420898,1689.85515450053
3481,RES_1577,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,56435.7792358398,1247.31504345722
3482,RES_2866,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,84831.1182250977,1963.3407999979
3483,RES_1056,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,105475.351074219,2134.21412201818
3484,RES_541,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,37453.2414550781,789.223445080372
3485,MIXED USE_347,,,LANDUSE,2020/07/25 00:52:23+00,2.0,0.0,911260.141662598,5695.61745599634
3486,RES_1889,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,91474.5806884766,1857.05691407311
3487,RES_1821,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,1821819.69763184,8389.88851472771
3488,RES_3011,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,4623.35913085938,461.320097043015
3489,RES_715,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,58901.591796875,1328.76420628949
3490,RES_2721,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,21992.7113647461,625.958967728069
3491,RES_3028,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,51426.5546875,1234.99624234952
3492,MIXED USE_375,,,LANDUSE,2020/07/25 00:52:23+00,2.0,0.0,93160.3635253906,1396.34372224361
3493,RES_2209,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,890.842407226563,200.655765978644
3494,RES_2173,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,38025.9216308594,1027.03718287079
3495,MIXED USE_327,,,LANDUSE,2020/07/25 00:52:23+00,2.0,0.0,54690.6530151367,1030.13833007057
3496,RES_2105,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,64949.8529663086,1446.27092085253
3497,EDUC_2405,,,LANDUSE,2020/07/25 00:52:23+00,5.0,0.0,952889.012084961,4728.97143476901
3498,RES_3011,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,2899.92016601563,299.600713772254
3499,RES_587,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,83343.4324951172,1271.23449121135
3500,COMM_128,,,LANDUSE,2020/07/25 00:52:23+00,9.0,0.0,193988.054931641,1761.30816647802
3501,RES_1110,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,94349.3982543945,1842.0111310465
3502,RES_2530,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,58015.0310058594,1291.52964487167
3503,RES_3041,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,149954.94128418,1599.75934001159
3504,IND_212,,,LANDUSE,2020/07/25 00:52:23+00,3.0,0.0,143.877197265625,52.0153787032084
3505,RES_1134,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,207858.452697754,4169.18024757925
3506,RES_2235,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,41425.0209350586,1015.03841646611
