OBJECTID,COMPKEY,STNAME_ORD,FLOWSEGID,DOWNTOWN,START_DATE,AMPK,PMPK,AWDT,ADT,AWDT_ROUNDED,DATAQUALITY,FLAGS,SHAPE_Length
1172,14891,E UNION ST,868,N,2018/10/30 00:00:00+00,630.0,627.0,7973.0,7782.0,8000,Study(Normalized),,324.034938827323
1173,12222,PINE ST,917,Y,2015/03/05 00:00:00+00,,,7108.0,6821.0,7100,Study - 13-15,,321.977761464641
1174,"6314,6319,6315,6317,6316,6318",40TH AVE NE,1613,N,2017/12/19 11:00:00+00,459.0,622.0,6548.0,6318.0,6500,Study,,2654.55339941742
1175,"15904,15907,15906,15905,15908,15909,15910,15911,15903",N 80TH ST,1739,N,2015/12/02 00:00:00+00,,,23918.0,22956.0,23900,Study - 13-15,,1534.63839998446
1176,"20689,20688",S LUCILE ST,274,N,2018/06/28 00:00:00+00,357.0,342.0,3881.0,3588.0,3800,Study(Normalized),,694.00994211177
1177,9996,DELRIDGE-W SEATTLE B RP,367,N,2015/04/07 00:00:00+00,,,20469.0,18737.0,20500,Study - 13-15,,441.004905968334
1178,6126,4TH AVE,726,Y,,,,16000.0,,16000,Estimate,,306.048996261889
1179,"18448,337317,18443","NW 55TH ST,NW 55TH PL",1580,N,2018/05/24 00:00:00+00,196.0,123.0,1570.0,1456.0,1400,Study(Normalized),,500.0380796711
1180,22991,SW WILDWOOD PL,91,N,2018/01/25 13:15:00+00,385.0,472.0,5618.0,5446.0,5600,Study,,280.878391173283
1181,"12796,12795,12797,12798",SEWARD PARK AVE S,246,N,2018/01/02 11:30:00+00,418.0,264.0,2941.0,2649.0,2900,Study,,2320.27993375683
1182,11859,MIDVALE AVE N,1931,N,2018/08/28 00:00:00+00,86.0,133.0,1173.0,1093.0,1200,Study(Normalized),,304.147603922425
1183,12864,SPRING ST,745,Y,2015/12/01 00:00:00+00,,,14603.0,13727.0,14600,Study - 13-15,,321.586195438244
1184,"14354,14353,14352,14351",E MADISON ST,1061,N,2017/11/01 12:30:00+00,1042.0,1147.0,14244.0,13454.0,14200,Study,,1502.48949333588
1185,9475,BROOKLYN AVE NE,1366,N,2018/05/09 00:00:00+00,371.0,408.0,4553.0,4273.0,4200,Study(Normalized),,645.301810820659
1186,"21331,21330",S SPOKANE ST,374,N,,,,11000.0,,11000,Estimate,,763.272312247645
1187,"7356,7358,7357,7223","5TH AVE S,5TH AVE",604,Y,2014/02/26 00:00:00+00,,,5845.0,5373.0,5800,Study - 13-15,,1135.05723151991
1188,12599,ROOSEVELT WAY NE,1485,N,2018/01/05 10:30:00+00,832.0,740.0,9234.0,9037.0,9200,Study,,670.0914553701
1189,"10211,10210,10209","ELLIOTT AVE W,ELLIOTT AVE",1014,Y,2014/08/18 00:00:00+00,,,20396.0,17917.0,20400,Study - 13-15,,2137.37217616789
1190,"23399,23398",WEST GREEN LAKE WAY N,1609,N,2018/06/01 00:00:00+00,782.0,1057.0,11336.0,11531.0,11100,Study(Normalized),,2380.73420201039
1191,"351261,8709",AIRPORT WAY S,514,N,2018/04/11 00:00:00+00,543.0,945.0,8371.0,7112.0,8600,Study(Normalized),,895.019442468556
1192,"22992,22994,22993,10421","SW WILDWOOD PL,FAUNTLEROY WAY SW",103,N,2018/01/17 15:30:00+00,590.0,624.0,7690.0,7369.0,7700,Study,,1255.61266615283
1194,"9747,9746,23140,9745,9744,9748,9743",CONDON WAY W,1243,N,2018/01/10 12:00:00+00,101.0,89.0,969.0,1024.0,1000,Study,,1925.89465866456
1195,"11167,11193",LAKE PARK DR S,462,N,2018/10/17 00:00:00+00,323.0,379.0,3759.0,3540.0,3800,Study(Normalized),,1705.06884629152
1196,"12954,18030,18033,18029,18031,18032,16125,16127,16129,16132,16133,16131,16128,16134,16126,16130","STONE WAY N,NE NORTHLAKE WAY,N NORTHLAKE WAY",1342,N,2017/10/30 11:00:00+00,847.0,935.0,9342.0,8739.0,9300,Study,,6719.70868400321
1197,"12425,12428,12427,12424,12426",RAINIER AVE S,81,N,,,,17000.0,,17000,Estimate,,1756.08452341898
1198,4382,3RD AVE,774,Y,,,,9670.0,9191.0,9700,Estimate,,425.989836227057
1199,"17512,17510,17511",NE 75TH ST,1709,N,2015/07/28 00:00:00+00,,,20802.0,19567.0,20800,Study - 13-15,,788.470917596171
1200,1012,1ST AVE,841,Y,2018/07/30 00:00:00+00,893.0,1093.0,13544.0,13195.0,13100,Study(Normalized),,425.979073818423
1201,"2528,2529,2526,2527",17TH AVE NE,1579,N,2018/03/26 00:00:00+00,74.0,92.0,967.0,909.0,900,Study(Normalized),,1841.18003558717
1202,"14413,14414",EAST MARGINAL WAY S,194,N,,,,20500.0,,20500,Estimate,,590.884943989568
1203,"9361,9366,9363,9360,9365,9362,9364,10574,10575,10576,10577,10573,10578","BOYER AVE E,FUHRMAN AVE E",1309,N,2015/12/02 00:00:00+00,,,10122.0,9163.0,10100,Study - 13-15,,5344.38883218186
1204,"19240,19239",NW MARKET ST,1577,N,2018/01/31 09:15:00+00,420.0,374.0,4592.0,4270.0,4600,Study,,938.504007491443
1205,"14244,14243,14245",E JOHN ST,1084,N,2015/07/27 00:00:00+00,,,14773.0,14506.0,14800,Study - 13-15,,972.867125631906
1206,"14377,14376",E MADISON ST,1199,N,2013/10/22 00:00:00+00,,,12011.0,11473.0,12000,Study - 13-15,,598.227987086371
1207,"17967,613104,12484,12485","NE BLAKELEY ST,RAVENNA PL NE",1539,N,2018/10/04 00:00:00+00,382.0,546.0,5965.0,5754.0,6000,Study(Normalized),,952.129786204194
1208,21306,S SPOKANE CR ST,2040,N,,,,10000.0,,10000,Estimate,,74.907109501651
1209,"22302,21844,21823,163649","SW HENDERSON ST,SW BARTON ST,SW BARTON PL",111,N,2015/04/24 00:00:00+00,,,7173.0,6912.0,7200,Study - 13-15,,1354.78817072308
1210,13352,WALL ST,896,Y,2018/08/28 00:00:00+00,273.0,375.0,4456.0,4535.0,4500,Study(Normalized),,268.889053318518
1211,"1888,1892,1890,1891,1894,1889,1893",14TH AVE NW,1561,N,2014/01/09 00:00:00+00,,,9124.0,8403.0,9100,Study - 13-15,,1825.14998718474
1212,"3455,3454,3452,3453",23RD AVE S,493,N,,,,12000.0,,12000,Estimate,,1407.4479838395
1213,8156,7TH AVE,760,Y,2018/08/08 00:00:00+00,832.0,712.0,10496.0,10657.0,10500,Study(Normalized),,306.16060922698
1214,"8946,8943,8948,8944,8941,8942,8947",AURORA AVE N,1975,N,2018/02/05 09:00:00+00,2873.0,3968.0,40714.0,38006.0,40700,Study,,1989.59813212603
1215,9758,CONVENTION PL,855,Y,2015/07/08 00:00:00+00,,,3809.0,3621.0,3800,Study - 13-15,,620.495089905986
1216,9554,CALIFORNIA AVE SW,300,N,2017/12/12 08:00:00+00,735.0,920.0,11211.0,10432.0,11200,Study,,650.030449651145
1217,"18279,15259","NW 145TH ST,N 145TH ST",1939,N,2018/08/28 00:00:00+00,559.0,825.0,8144.0,7475.0,8200,Study(Normalized),,1318.63528838342
1218,12201,PIKE ST,821,Y,2015/12/01 00:00:00+00,,,9772.0,9484.0,9800,Study - 13-15,,322.04626589801
1219,"11295,11296",LATONA AVE NE,1516,N,2017/11/16 10:00:00+00,96.0,279.0,1918.0,1844.0,1900,Study,,1327.94922588648
1220,6228,4TH AVE S,578,Y,,,,17500.0,,17500,Estimate,,306.085146324772
